6,"SELECT DISTINCT p.ra, p.dec, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, p.type, p.objid FROM PhotoObjAll AS p WHERE (p.run=# AND p.camcol=# AND p.field=# AND p.rerun=#)"
2019-11-04 00:18:00,1
2019-11-04 22:49:00,4
2019-11-04 22:50:00,1
