1164,"SELECT p.ra , p.dec, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, p.nMgyPerCount_u, p.nMgyPerCount_g, p.nMgyPerCount_r, p.nMgyPerCount_i, p.nMgyPerCount_z FROM PhotoObjAll p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-11-04 11:20:00,5
2019-11-04 11:21:00,2
2019-11-04 11:22:00,8
2019-11-04 11:26:00,10
2019-11-04 11:28:00,9
2019-11-04 11:29:00,1
2019-11-04 11:30:00,7
2019-11-04 11:31:00,3
2019-11-04 11:33:00,10
2019-11-04 11:36:00,10
2019-11-04 11:38:00,10
2019-11-04 11:40:00,10
2019-11-04 11:42:00,10
2019-11-04 11:44:00,7
2019-11-04 11:45:00,3
2019-11-04 11:46:00,6
2019-11-04 11:47:00,4
2019-11-04 11:48:00,4
2019-11-04 11:49:00,10
2019-11-04 11:51:00,10
2019-11-04 11:53:00,6
2019-11-04 11:54:00,4
2019-11-04 11:55:00,4
2019-11-04 11:56:00,10
2019-11-04 11:58:00,8
2019-11-04 11:59:00,2
2019-11-04 12:00:00,2
2019-11-04 12:01:00,8
2019-11-04 12:02:00,10
2019-11-04 12:04:00,7
2019-11-04 12:05:00,3
2019-11-04 12:06:00,1
2019-11-04 12:07:00,5
2019-11-04 12:09:00,10
2019-11-04 12:10:00,2
2019-11-04 12:11:00,8
2019-11-04 12:12:00,7
2019-11-04 12:13:00,3
2019-11-04 12:14:00,9
2019-11-04 12:15:00,1
2019-11-04 12:16:00,10
2019-11-04 12:18:00,10
2019-11-04 12:20:00,10
2019-11-04 12:22:00,7
2019-11-04 12:23:00,3
2019-11-04 12:24:00,3
2019-11-04 12:25:00,6
2019-11-04 12:26:00,2
2019-11-04 12:27:00,8
2019-11-04 12:28:00,8
2019-11-04 12:29:00,2
2019-11-04 12:31:00,10
2019-11-04 12:33:00,9
2019-11-04 12:34:00,1
2019-11-04 12:36:00,10
2019-11-04 12:38:00,10
2019-11-04 12:40:00,4
2019-11-04 12:41:00,2
2019-11-04 12:42:00,10
2019-11-04 12:44:00,10
2019-11-04 12:46:00,10
2019-11-04 12:48:00,7
2019-11-04 12:49:00,3
2019-11-04 12:51:00,10
2019-11-04 12:53:00,10
2019-11-04 12:54:00,3
2019-11-04 12:55:00,3
2019-11-04 12:56:00,10
2019-11-04 12:58:00,10
2019-11-04 13:01:00,2
2019-11-04 13:02:00,3
2019-11-04 13:07:00,10
2019-11-04 13:12:00,10
2019-11-04 13:15:00,3
2019-11-04 13:16:00,10
2019-11-04 13:18:00,2
2019-11-04 13:22:00,10
2019-11-04 13:28:00,10
2019-11-04 13:32:00,6
2019-11-04 13:36:00,10
2019-11-04 13:41:00,6
2019-11-04 13:42:00,4
2019-11-04 13:46:00,8
2019-11-04 13:47:00,2
2019-11-04 13:48:00,1
2019-11-04 13:52:00,10
2019-11-04 13:55:00,4
2019-11-04 13:56:00,2
2019-11-04 14:01:00,10
2019-11-04 14:04:00,4
2019-11-04 14:05:00,2
2019-11-04 14:06:00,1
2019-11-04 15:22:00,5
2019-11-04 15:23:00,6
2019-11-04 15:24:00,4
2019-11-04 15:27:00,9
2019-11-04 15:28:00,1
2019-11-04 15:30:00,9
2019-11-04 15:31:00,1
2019-11-04 15:33:00,10
2019-11-04 15:36:00,10
2019-11-04 15:40:00,10
2019-11-04 15:42:00,10
2019-11-04 15:45:00,10
2019-11-04 15:47:00,6
2019-11-04 15:48:00,4
2019-11-04 15:50:00,10
2019-11-04 15:52:00,10
2019-11-04 15:54:00,4
2019-11-04 15:56:00,10
2019-11-04 15:58:00,10
2019-11-04 16:01:00,6
2019-11-04 16:02:00,4
2019-11-04 16:03:00,4
2019-11-04 16:04:00,2
2019-11-04 16:05:00,8
2019-11-04 16:07:00,2
2019-11-04 16:08:00,8
2019-11-04 16:10:00,10
2019-11-04 16:12:00,10
2019-11-04 16:14:00,3
2019-11-04 16:15:00,7
2019-11-04 16:17:00,8
2019-11-04 16:18:00,2
2019-11-04 16:20:00,10
2019-11-04 16:22:00,10
2019-11-04 16:24:00,10
2019-11-04 16:26:00,10
2019-11-04 16:28:00,6
2019-11-04 16:29:00,4
2019-11-04 16:31:00,10
2019-11-04 16:33:00,10
2019-11-04 16:35:00,1
2019-11-04 16:36:00,9
2019-11-04 16:37:00,3
2019-11-04 16:38:00,3
2019-11-04 16:39:00,3
2019-11-04 16:40:00,10
2019-11-04 16:42:00,7
2019-11-04 16:43:00,3
2019-11-04 16:45:00,10
2019-11-04 16:48:00,9
2019-11-04 16:49:00,1
2019-11-04 16:51:00,4
2019-11-04 16:52:00,6
2019-11-04 16:55:00,10
2019-11-04 16:57:00,4
2019-11-04 16:58:00,2
2019-11-04 16:59:00,1
2019-11-04 17:00:00,9
2019-11-04 17:02:00,10
2019-11-04 17:05:00,10
2019-11-04 17:08:00,10
2019-11-04 17:10:00,6
2019-11-04 17:11:00,4
2019-11-04 17:13:00,10
