19,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.class, s.z as redshift,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.u BETWEEN # AND #  AND g BETWEEN # AND #"
2019-07-16 06:19:00,1
2019-07-16 06:45:00,1
2019-07-16 18:25:00,1
2019-07-16 18:26:00,4
2019-07-16 18:27:00,2
2019-07-16 18:28:00,2
2019-07-16 18:55:00,2
2019-07-16 19:17:00,2
2019-07-16 19:36:00,1
2019-07-16 20:15:00,1
2019-07-16 20:43:00,1
2019-07-16 21:25:00,1
