68,"select name,ucd from dbcolumns where tablename = &&& and ( name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&&)"
2019-07-16 00:45:00,1
2019-07-16 01:45:00,1
2019-07-16 02:19:00,7
2019-07-16 02:20:00,2
2019-07-16 02:42:00,9
2019-07-16 02:45:00,1
2019-07-16 03:45:00,1
2019-07-16 04:45:00,1
2019-07-16 05:45:00,1
2019-07-16 06:45:00,1
2019-07-16 07:45:00,1
2019-07-16 08:34:00,1
2019-07-16 08:35:00,1
2019-07-16 08:45:00,1
2019-07-16 08:51:00,9
2019-07-16 09:45:00,1
2019-07-16 10:45:00,1
2019-07-16 11:45:00,1
2019-07-16 12:45:00,1
2019-07-16 13:45:00,1
2019-07-16 14:13:00,1
2019-07-16 14:45:00,1
2019-07-16 15:45:00,1
2019-07-16 15:49:00,9
2019-07-16 16:45:00,1
2019-07-16 17:45:00,1
2019-07-16 18:46:00,1
2019-07-16 19:45:00,1
2019-07-16 20:04:00,4
2019-07-16 20:05:00,5
