23,"SELECT up_id, (SELECT apstar_id FROM fGetNearestApogeeStarEq(up_ra,up_dec,#)) as apstar_id   FROM #upload WHERE (SELECT apstar_id FROM fGetNearestApogeeStarEq(up_ra,up_dec,#)) IS NOT NULL  EXEC spExecuteSQL &&&,&&&, @log=#, @filter=#"
2019-07-16 06:57:00,1
2019-07-16 10:39:00,1
2019-07-16 10:41:00,1
2019-07-16 10:43:00,2
2019-07-16 10:44:00,2
2019-07-16 10:45:00,1
2019-07-16 10:46:00,2
2019-07-16 10:48:00,1
2019-07-16 14:51:00,1
2019-07-16 14:54:00,1
2019-07-16 14:58:00,1
2019-07-16 15:02:00,1
2019-07-16 15:06:00,1
2019-07-16 15:22:00,1
2019-07-16 15:26:00,1
2019-07-16 15:29:00,1
2019-07-16 15:41:00,1
2019-07-16 15:44:00,1
2019-07-16 15:47:00,1
2019-07-16 15:50:00,1
