2,"SELECT P.ra, P.dec, P.modelMag_g, P.modelMag_i, P.extinction_g, P.extinction_i into mydb.proj2 from PhotoObjAll as P where P.ra <= # and P.ra >= # and P.dec <=# and P.dec >= #"
2019-07-16 09:58:00,1
2019-07-16 10:01:00,1
