23,"SELECT p.ra,p.dec,p.raErr,p.decErr,p.objId,p.run,p.rerun,p.camcol,p.field,dbo.fPhotoModeN(mode) as mode,nChild,dbo.fPhotoTypeN(p.type) as type,clean,flags,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,mjd from PhotoObj as p JOIN dbo.fGetObjFromRectEq(#,#,#,#) AS R ON P.objID=R.objID"
2019-07-16 04:06:00,1
2019-07-16 04:35:00,1
2019-07-16 05:04:00,1
2019-07-16 05:16:00,1
2019-07-16 05:30:00,1
2019-07-16 16:12:00,2
2019-07-16 16:17:00,1
2019-07-16 16:19:00,1
2019-07-16 16:21:00,1
2019-07-16 19:52:00,1
2019-07-16 19:53:00,1
2019-07-16 19:54:00,1
2019-07-16 19:56:00,1
2019-07-16 19:59:00,1
2019-07-16 20:41:00,1
2019-07-16 20:53:00,1
2019-07-16 20:59:00,1
2019-07-16 21:00:00,1
2019-07-16 21:30:00,1
2019-07-16 21:38:00,1
2019-07-16 21:46:00,1
2019-07-16 21:48:00,1
