2,"SELECT P.ra, P.dec, P.modelMag_g, P.modelMag_i, P.modelMagErr_g, P.modelMagErr_i, P.extinction_g, P.extinction_i into mydb.proj2 from PhotoObjAll as P"
2019-07-16 09:39:00,1
2019-07-16 09:42:00,1
