249,select * from wise_xmatch x join wise_allsky a on x.wise_cntr=a.cntr where x.sdss_objid=#
2019-07-16 00:01:00,2
2019-07-16 00:02:00,1
2019-07-16 00:03:00,1
2019-07-16 00:04:00,2
2019-07-16 00:05:00,2
2019-07-16 00:06:00,2
2019-07-16 00:07:00,3
2019-07-16 00:08:00,1
2019-07-16 00:09:00,1
2019-07-16 00:11:00,2
2019-07-16 00:13:00,2
2019-07-16 00:14:00,2
2019-07-16 00:16:00,1
2019-07-16 00:17:00,2
2019-07-16 00:18:00,2
2019-07-16 00:19:00,2
2019-07-16 00:20:00,3
2019-07-16 00:22:00,1
2019-07-16 00:23:00,1
2019-07-16 00:24:00,2
2019-07-16 00:25:00,2
2019-07-16 00:26:00,3
2019-07-16 00:27:00,3
2019-07-16 00:28:00,1
2019-07-16 00:29:00,2
2019-07-16 00:31:00,3
2019-07-16 00:32:00,2
2019-07-16 00:33:00,2
2019-07-16 00:34:00,1
2019-07-16 00:35:00,2
2019-07-16 00:37:00,1
2019-07-16 00:38:00,1
2019-07-16 00:39:00,1
2019-07-16 00:40:00,1
2019-07-16 00:41:00,2
2019-07-16 00:43:00,2
2019-07-16 00:45:00,3
2019-07-16 00:46:00,1
2019-07-16 00:47:00,1
2019-07-16 00:48:00,3
2019-07-16 00:49:00,2
2019-07-16 00:50:00,1
2019-07-16 00:51:00,3
2019-07-16 00:52:00,2
2019-07-16 00:53:00,2
2019-07-16 00:54:00,2
2019-07-16 00:55:00,2
2019-07-16 00:56:00,1
2019-07-16 00:57:00,1
2019-07-16 00:58:00,1
2019-07-16 00:59:00,2
2019-07-16 01:00:00,2
2019-07-16 01:01:00,3
2019-07-16 01:02:00,1
2019-07-16 01:03:00,2
2019-07-16 01:04:00,2
2019-07-16 01:05:00,1
2019-07-16 01:06:00,1
2019-07-16 01:07:00,2
2019-07-16 01:08:00,2
2019-07-16 01:09:00,1
2019-07-16 01:10:00,3
2019-07-16 01:11:00,1
2019-07-16 01:12:00,2
2019-07-16 01:13:00,2
2019-07-16 01:14:00,2
2019-07-16 01:15:00,1
2019-07-16 01:16:00,3
2019-07-16 01:17:00,2
2019-07-16 01:18:00,1
2019-07-16 01:20:00,3
2019-07-16 01:21:00,1
2019-07-16 01:22:00,3
2019-07-16 01:23:00,1
2019-07-16 01:24:00,1
2019-07-16 01:25:00,1
2019-07-16 01:26:00,3
2019-07-16 01:27:00,2
2019-07-16 01:28:00,1
2019-07-16 01:29:00,2
2019-07-16 01:31:00,3
2019-07-16 01:32:00,1
2019-07-16 01:33:00,1
2019-07-16 01:35:00,1
2019-07-16 01:36:00,2
2019-07-16 01:38:00,1
2019-07-16 01:39:00,1
2019-07-16 01:40:00,2
2019-07-16 01:41:00,3
2019-07-16 01:42:00,1
2019-07-16 01:43:00,1
2019-07-16 01:44:00,1
2019-07-16 01:45:00,2
2019-07-16 01:46:00,1
2019-07-16 01:48:00,1
2019-07-16 01:49:00,1
2019-07-16 01:52:00,3
2019-07-16 01:53:00,2
2019-07-16 01:54:00,1
2019-07-16 01:55:00,1
2019-07-16 01:56:00,2
2019-07-16 01:57:00,1
2019-07-16 01:58:00,1
2019-07-16 02:06:00,2
2019-07-16 02:07:00,1
2019-07-16 02:08:00,1
2019-07-16 02:10:00,1
2019-07-16 02:11:00,3
2019-07-16 02:12:00,1
2019-07-16 02:15:00,1
2019-07-16 02:16:00,1
2019-07-16 02:17:00,2
2019-07-16 02:18:00,3
2019-07-16 02:21:00,1
2019-07-16 02:22:00,1
2019-07-16 02:23:00,2
2019-07-16 02:24:00,1
2019-07-16 02:25:00,1
2019-07-16 02:27:00,3
2019-07-16 02:28:00,3
2019-07-16 02:30:00,1
2019-07-16 02:31:00,1
2019-07-16 02:32:00,1
2019-07-16 02:33:00,1
2019-07-16 02:34:00,2
2019-07-16 02:35:00,2
2019-07-16 02:36:00,1
2019-07-16 02:37:00,1
2019-07-16 02:38:00,3
2019-07-16 02:39:00,2
2019-07-16 02:40:00,1
2019-07-16 02:41:00,2
2019-07-16 02:42:00,1
2019-07-16 02:43:00,2
2019-07-16 02:44:00,2
2019-07-16 02:50:00,1
2019-07-16 02:51:00,3
2019-07-16 02:52:00,1
2019-07-16 02:54:00,2
2019-07-16 02:55:00,1
2019-07-16 02:56:00,2
2019-07-16 02:58:00,1
2019-07-16 02:59:00,3
2019-07-16 03:00:00,1
2019-07-16 03:01:00,1
2019-07-16 13:57:00,1
2019-07-16 19:23:00,1
2019-07-16 19:24:00,1
2019-07-16 22:55:00,1
2019-07-16 23:01:00,1
