600,select * from Photoz where objid=#
2019-05-11 00:20:00,2
2019-05-11 00:21:00,9
2019-05-11 00:22:00,9
2019-05-11 00:23:00,9
2019-05-11 00:24:00,9
2019-05-11 00:25:00,9
2019-05-11 00:26:00,9
2019-05-11 00:27:00,11
2019-05-11 00:28:00,12
2019-05-11 00:29:00,13
2019-05-11 00:30:00,10
2019-05-11 03:07:00,1
2019-05-11 07:18:00,2
2019-05-11 09:36:00,2
2019-05-11 11:37:00,2
2019-05-11 11:42:00,23
2019-05-11 11:43:00,14
2019-05-11 13:22:00,2
2019-05-11 13:24:00,10
2019-05-11 13:25:00,27
2019-05-11 15:21:00,4
2019-05-11 17:36:00,1
2019-05-11 17:44:00,3
2019-05-11 17:45:00,24
2019-05-11 17:46:00,11
2019-05-11 17:47:00,11
2019-05-11 17:48:00,14
2019-05-11 17:49:00,7
2019-05-11 17:50:00,9
2019-05-11 17:51:00,11
2019-05-11 17:52:00,6
2019-05-11 17:53:00,11
2019-05-11 17:54:00,14
2019-05-11 17:55:00,13
2019-05-11 17:56:00,12
2019-05-11 17:57:00,4
2019-05-11 18:37:00,1
2019-05-11 18:39:00,1
2019-05-11 18:42:00,11
2019-05-11 20:40:00,17
2019-05-11 20:41:00,24
2019-05-11 22:35:00,15
2019-05-11 22:36:00,41
2019-05-11 22:37:00,49
2019-05-11 22:38:00,54
2019-05-11 22:39:00,45
2019-05-11 22:40:00,2
