77,"SELECT TOP # rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-05-11 01:02:00,1
2019-05-11 01:05:00,2
2019-05-11 01:07:00,1
2019-05-11 01:11:00,1
2019-05-11 01:55:00,2
2019-05-11 03:02:00,1
2019-05-11 03:05:00,2
2019-05-11 03:35:00,2
2019-05-11 05:01:00,1
2019-05-11 05:02:00,1
2019-05-11 06:30:00,1
2019-05-11 07:01:00,1
2019-05-11 08:30:00,1
2019-05-11 09:35:00,2
2019-05-11 10:01:00,1
2019-05-11 10:02:00,1
2019-05-11 11:00:00,4
2019-05-11 11:30:00,1
2019-05-11 11:31:00,1
2019-05-11 12:30:00,2
2019-05-11 13:02:00,1
2019-05-11 13:03:00,1
2019-05-11 13:05:00,1
2019-05-11 13:06:00,1
2019-05-11 15:02:00,1
2019-05-11 15:04:00,1
2019-05-11 16:01:00,1
2019-05-11 16:03:00,1
2019-05-11 16:04:00,1
2019-05-11 17:01:00,1
2019-05-11 17:04:00,1
2019-05-11 17:05:00,4
2019-05-11 17:08:00,1
2019-05-11 17:09:00,1
2019-05-11 17:30:00,4
2019-05-11 17:35:00,2
2019-05-11 18:01:00,1
2019-05-11 18:02:00,1
2019-05-11 19:02:00,1
2019-05-11 19:35:00,3
2019-05-11 20:30:00,2
2019-05-11 21:01:00,1
2019-05-11 21:04:00,1
2019-05-11 21:05:00,2
2019-05-11 21:07:00,1
2019-05-11 21:10:00,1
2019-05-11 21:35:00,2
2019-05-11 22:04:00,1
2019-05-11 22:05:00,2
2019-05-11 22:06:00,1
2019-05-11 22:09:00,1
2019-05-11 22:30:00,1
2019-05-11 22:32:00,1
2019-05-11 22:40:00,1
2019-05-11 23:01:00,1
