28,"select p.objid as name, p.ra, p.dec from galaxy p, specobj s where p.objid=s.bestobjid and (p.g BETWEEN # AND #) and s.z BETWEEN # AND #"
2019-04-09 14:53:00,1
2019-04-09 14:57:00,1
2019-04-09 15:02:00,1
2019-04-09 15:12:00,2
2019-04-09 15:20:00,1
2019-04-09 15:23:00,1
2019-04-09 15:29:00,1
2019-04-09 15:35:00,1
2019-04-09 15:40:00,1
2019-04-09 15:45:00,1
2019-04-09 15:48:00,1
2019-04-09 15:50:00,2
2019-04-09 15:52:00,1
2019-04-09 15:53:00,1
2019-04-09 15:55:00,1
2019-04-09 15:58:00,1
2019-04-09 16:13:00,1
2019-04-09 18:54:00,2
2019-04-09 19:18:00,1
2019-04-09 22:41:00,1
2019-04-09 22:43:00,1
2019-04-09 23:15:00,1
2019-04-09 23:39:00,1
2019-04-09 23:50:00,1
2019-04-09 23:58:00,1
