37,"select name, type, description from DBObjects where  type in (&&&,&&&) and UPPER(name) like &&&"
2019-04-09 01:23:00,1
2019-04-09 03:27:00,1
2019-04-09 04:47:00,1
2019-04-09 05:59:00,1
2019-04-09 07:20:00,3
2019-04-09 07:21:00,3
2019-04-09 07:22:00,2
2019-04-09 09:00:00,1
2019-04-09 10:44:00,1
2019-04-09 10:50:00,1
2019-04-09 10:51:00,1
2019-04-09 10:59:00,1
2019-04-09 11:01:00,1
2019-04-09 11:43:00,1
2019-04-09 12:47:00,1
2019-04-09 14:06:00,1
2019-04-09 14:15:00,1
2019-04-09 15:41:00,3
2019-04-09 15:42:00,5
2019-04-09 15:45:00,2
2019-04-09 18:45:00,1
2019-04-09 18:55:00,1
2019-04-09 21:01:00,1
2019-04-09 21:22:00,1
2019-04-09 22:27:00,1
