12,"SELECT prim.bestObjId, prim.mjd AS PrimMJD, prim.plate AS PrimPlate,   other.mjd AS OtherMJD, other.plate AS OtherPlate,  prim.z AS PrimZ, other.z AS OtherZ, plate.programname FROM SpecObjAll prim  JOIN SpecObjAll other ON prim.bestObjId = other.bestObjId  JOIN platex AS plate ON other.plate = plate.plate AND other.mjd = plate.mjd WHERE other.bestObjId > #  AND prim.sciencePrimary = #  AND other.sciencePrimary = #  AND prim.z > # ORDER BY prim.bestObjId"
2019-04-09 01:35:00,1
2019-04-09 02:20:00,1
2019-04-09 02:21:00,1
2019-04-09 02:23:00,2
2019-04-09 02:31:00,1
2019-04-09 02:32:00,1
2019-04-09 02:33:00,1
2019-04-09 12:30:00,1
2019-04-09 21:22:00,2
2019-04-09 21:27:00,1
