2,"select all s.ra,s.dec,round(s.z,#),round(s.eClass,#),p.petroRad_r,p.petroMag_r from specObj s join photoObj p on s.bestObjID=p.objID  where specClass=# and s.z<#"
2019-04-09 13:25:00,1
2019-04-09 13:26:00,1
