158,"select p.run, p.camcol, p.field from STAR as p   inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-04-09 07:39:00,2
2019-04-09 07:40:00,2
2019-04-09 07:41:00,2
2019-04-09 07:42:00,2
2019-04-09 08:27:00,2
2019-04-09 08:28:00,2
2019-04-09 08:29:00,2
2019-04-09 08:31:00,2
2019-04-09 08:44:00,2
2019-04-09 08:45:00,1
2019-04-09 08:47:00,1
2019-04-09 09:15:00,4
2019-04-09 09:16:00,4
2019-04-09 09:23:00,2
2019-04-09 09:24:00,2
2019-04-09 09:25:00,2
2019-04-09 09:27:00,2
2019-04-09 10:03:00,2
2019-04-09 10:05:00,2
2019-04-09 10:06:00,2
2019-04-09 10:08:00,2
2019-04-09 10:28:00,1
2019-04-09 10:29:00,1
2019-04-09 10:30:00,2
2019-04-09 10:32:00,1
2019-04-09 11:09:00,2
2019-04-09 11:10:00,2
2019-04-09 11:11:00,2
2019-04-09 11:12:00,2
2019-04-09 11:23:00,3
2019-04-09 11:24:00,5
2019-04-09 11:30:00,2
2019-04-09 11:31:00,2
2019-04-09 11:32:00,1
2019-04-09 11:33:00,2
2019-04-09 11:42:00,1
2019-04-09 11:43:00,1
2019-04-09 11:44:00,2
2019-04-09 11:46:00,1
2019-04-09 11:55:00,1
2019-04-09 11:56:00,1
2019-04-09 11:57:00,1
2019-04-09 11:58:00,2
2019-04-09 12:07:00,6
2019-04-09 12:08:00,2
2019-04-09 12:12:00,2
2019-04-09 12:13:00,1
2019-04-09 12:14:00,1
2019-04-09 12:23:00,1
2019-04-09 12:24:00,5
2019-04-09 12:25:00,2
2019-04-09 13:09:00,2
2019-04-09 13:10:00,2
2019-04-09 13:11:00,2
2019-04-09 13:12:00,2
2019-04-09 13:32:00,2
2019-04-09 13:33:00,4
2019-04-09 13:34:00,2
2019-04-09 13:46:00,4
2019-04-09 13:47:00,2
2019-04-09 13:48:00,2
2019-04-09 13:49:00,4
2019-04-09 13:51:00,4
2019-04-09 14:20:00,2
2019-04-09 14:21:00,2
2019-04-09 14:22:00,2
2019-04-09 14:24:00,2
2019-04-09 14:50:00,2
2019-04-09 14:51:00,2
2019-04-09 14:52:00,2
2019-04-09 14:54:00,2
2019-04-09 15:53:00,2
2019-04-09 15:54:00,2
2019-04-09 15:55:00,2
2019-04-09 15:57:00,2
