2,"SELECT dered_u, dered_g, dered_r, dered_i, dered_z, za.z INTO mydb.photoz_class FROM SpecObjAll za JOIN PhotoObjAll po ON (po.objID = za.bestObjID) JOIN galSpecInfo zi ON (zi.SpecObjID = za.specObjID) WHERE za.z > # and za.zWarning=# and za.targetType =&&& and za.survey=&&& and za.class=&&& and zi.primtarget>=# and po.clean=# and po.insideMask=# and (po.petroMag_r - po.extinction_r)<=# and za.sciencePrimary=#"
2019-04-09 09:58:00,1
2019-04-09 09:59:00,1
