2174,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-04-09 01:13:00,2
2019-04-09 02:25:00,1
2019-04-09 02:30:00,1
2019-04-09 02:32:00,1
2019-04-09 02:42:00,1
2019-04-09 02:45:00,1
2019-04-09 07:46:00,1
2019-04-09 16:48:00,1
2019-04-09 17:06:00,15
2019-04-09 17:13:00,6
2019-04-09 17:16:00,25
2019-04-09 17:17:00,41
2019-04-09 17:18:00,43
2019-04-09 17:19:00,16
2019-04-09 17:25:00,1
2019-04-09 17:26:00,39
2019-04-09 17:27:00,41
2019-04-09 17:28:00,47
2019-04-09 17:29:00,44
2019-04-09 17:30:00,43
2019-04-09 17:31:00,42
2019-04-09 17:32:00,47
2019-04-09 17:33:00,45
2019-04-09 17:34:00,40
2019-04-09 17:35:00,44
2019-04-09 17:36:00,37
2019-04-09 17:37:00,41
2019-04-09 17:38:00,40
2019-04-09 17:39:00,36
2019-04-09 17:40:00,37
2019-04-09 17:41:00,36
2019-04-09 17:42:00,44
2019-04-09 17:43:00,39
2019-04-09 17:44:00,41
2019-04-09 17:45:00,39
2019-04-09 17:46:00,45
2019-04-09 17:47:00,38
2019-04-09 17:48:00,40
2019-04-09 17:49:00,38
2019-04-09 17:50:00,40
2019-04-09 17:51:00,42
2019-04-09 17:52:00,37
2019-04-09 17:53:00,42
2019-04-09 17:54:00,39
2019-04-09 17:55:00,34
2019-04-09 17:56:00,43
2019-04-09 17:57:00,46
2019-04-09 17:58:00,44
2019-04-09 17:59:00,40
2019-04-09 18:00:00,49
2019-04-09 18:01:00,45
2019-04-09 18:02:00,47
2019-04-09 18:03:00,49
2019-04-09 18:04:00,49
2019-04-09 18:05:00,45
2019-04-09 18:06:00,37
2019-04-09 18:07:00,51
2019-04-09 18:08:00,48
2019-04-09 18:09:00,42
2019-04-09 18:10:00,42
2019-04-09 18:11:00,38
2019-04-09 18:12:00,41
2019-04-09 18:13:00,39
2019-04-09 21:17:00,1
2019-04-09 21:18:00,2
2019-04-09 21:25:00,1
2019-04-09 21:26:00,1
2019-04-09 23:01:00,1
