20255,"SELECT DISTINCT p.objID, s.ra, s.dec, s.specObjID, s.sciencePrimary, s.run2d, s.instrument, s.plate, s.fiberID, s.mjd FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-11-22 12:14:00,11
2019-11-22 12:15:00,103
2019-11-22 12:16:00,183
2019-11-22 12:17:00,14
2019-11-22 12:18:00,12
2019-11-22 12:19:00,16
2019-11-22 12:20:00,17
2019-11-22 12:21:00,15
2019-11-22 12:22:00,16
2019-11-22 12:23:00,22
2019-11-22 12:24:00,28
2019-11-22 12:25:00,136
2019-11-22 12:26:00,271
2019-11-22 12:27:00,276
2019-11-22 12:28:00,277
2019-11-22 12:29:00,225
2019-11-22 12:30:00,30
2019-11-22 12:31:00,207
2019-11-22 12:32:00,255
2019-11-22 12:33:00,11
2019-11-22 12:34:00,12
2019-11-22 12:35:00,10
2019-11-22 14:18:00,6
2019-11-22 14:19:00,172
2019-11-22 14:20:00,248
2019-11-22 14:21:00,236
2019-11-22 14:22:00,252
2019-11-22 14:23:00,180
2019-11-22 14:24:00,224
2019-11-22 14:25:00,305
2019-11-22 14:26:00,264
2019-11-22 14:27:00,300
2019-11-22 14:28:00,36
2019-11-22 14:29:00,104
2019-11-22 14:30:00,7
2019-11-22 14:31:00,7
2019-11-22 14:32:00,7
2019-11-22 14:33:00,115
2019-11-22 14:34:00,223
2019-11-22 14:35:00,239
2019-11-22 14:36:00,42
2019-11-22 14:37:00,206
2019-11-22 14:38:00,72
2019-11-22 14:39:00,271
2019-11-22 14:40:00,17
2019-11-22 14:41:00,27
2019-11-22 14:42:00,27
2019-11-22 14:43:00,28
2019-11-22 14:44:00,26
2019-11-22 14:45:00,27
2019-11-22 14:46:00,30
2019-11-22 14:47:00,26
2019-11-22 14:48:00,27
2019-11-22 14:49:00,29
2019-11-22 14:50:00,28
2019-11-22 14:51:00,25
2019-11-22 14:52:00,30
2019-11-22 14:53:00,33
2019-11-22 14:54:00,33
2019-11-22 14:55:00,34
2019-11-22 14:56:00,33
2019-11-22 14:57:00,31
2019-11-22 14:58:00,36
2019-11-22 14:59:00,29
2019-11-22 15:00:00,22
2019-11-22 15:01:00,30
2019-11-22 15:02:00,31
2019-11-22 15:03:00,26
2019-11-22 15:04:00,30
2019-11-22 15:05:00,26
2019-11-22 15:06:00,35
2019-11-22 15:07:00,27
2019-11-22 15:08:00,23
2019-11-22 15:09:00,26
2019-11-22 15:10:00,25
2019-11-22 15:11:00,31
2019-11-22 15:12:00,21
2019-11-22 15:13:00,24
2019-11-22 15:14:00,21
2019-11-22 15:15:00,32
2019-11-22 15:16:00,32
2019-11-22 15:17:00,29
2019-11-22 15:18:00,27
2019-11-22 15:19:00,34
2019-11-22 15:20:00,36
2019-11-22 15:21:00,36
2019-11-22 15:22:00,37
2019-11-22 15:23:00,30
2019-11-22 15:24:00,28
2019-11-22 15:25:00,30
2019-11-22 15:26:00,31
2019-11-22 15:27:00,23
2019-11-22 15:28:00,27
2019-11-22 15:29:00,30
2019-11-22 15:30:00,25
2019-11-22 15:31:00,22
2019-11-22 15:32:00,31
2019-11-22 15:33:00,29
2019-11-22 15:34:00,27
2019-11-22 15:35:00,37
2019-11-22 15:36:00,27
2019-11-22 15:37:00,28
2019-11-22 15:38:00,22
2019-11-22 15:39:00,31
2019-11-22 15:40:00,28
2019-11-22 15:41:00,27
2019-11-22 15:42:00,39
2019-11-22 15:43:00,40
2019-11-22 15:44:00,30
2019-11-22 15:45:00,39
2019-11-22 15:46:00,35
2019-11-22 15:47:00,30
2019-11-22 15:48:00,55
2019-11-22 15:49:00,35
2019-11-22 15:50:00,29
2019-11-22 15:51:00,31
2019-11-22 15:52:00,39
2019-11-22 15:53:00,25
2019-11-22 15:54:00,23
2019-11-22 15:55:00,30
2019-11-22 15:56:00,35
2019-11-22 15:57:00,25
2019-11-22 15:58:00,23
2019-11-22 15:59:00,25
2019-11-22 16:00:00,22
2019-11-22 16:01:00,27
2019-11-22 16:02:00,26
2019-11-22 16:03:00,20
2019-11-22 16:04:00,22
2019-11-22 16:05:00,26
2019-11-22 16:06:00,31
2019-11-22 16:07:00,31
2019-11-22 16:08:00,29
2019-11-22 16:09:00,40
2019-11-22 16:10:00,40
2019-11-22 16:11:00,45
2019-11-22 16:12:00,39
2019-11-22 16:13:00,30
2019-11-22 16:14:00,17
2019-11-22 16:15:00,31
2019-11-22 16:16:00,23
2019-11-22 16:17:00,27
2019-11-22 16:18:00,24
2019-11-22 16:19:00,16
2019-11-22 16:20:00,38
2019-11-22 16:21:00,28
2019-11-22 16:22:00,38
2019-11-22 16:23:00,22
2019-11-22 16:24:00,28
2019-11-22 16:25:00,21
2019-11-22 16:26:00,32
2019-11-22 16:27:00,19
2019-11-22 16:28:00,29
2019-11-22 16:29:00,24
2019-11-22 16:30:00,31
2019-11-22 16:31:00,27
2019-11-22 16:32:00,37
2019-11-22 16:33:00,42
2019-11-22 16:34:00,32
2019-11-22 16:35:00,24
2019-11-22 16:36:00,43
2019-11-22 16:37:00,26
2019-11-22 16:38:00,39
2019-11-22 16:39:00,33
2019-11-22 16:40:00,32
2019-11-22 16:41:00,30
2019-11-22 16:42:00,32
2019-11-22 16:43:00,26
2019-11-22 16:44:00,33
2019-11-22 16:45:00,33
2019-11-22 16:46:00,32
2019-11-22 16:47:00,37
2019-11-22 16:48:00,38
2019-11-22 16:49:00,26
2019-11-22 16:50:00,24
2019-11-22 16:51:00,33
2019-11-22 16:52:00,26
2019-11-22 16:53:00,26
2019-11-22 16:54:00,34
2019-11-22 16:55:00,34
2019-11-22 16:56:00,47
2019-11-22 16:57:00,26
2019-11-22 16:58:00,32
2019-11-22 16:59:00,42
2019-11-22 17:00:00,34
2019-11-22 17:01:00,26
2019-11-22 17:02:00,29
2019-11-22 17:03:00,33
2019-11-22 17:04:00,30
2019-11-22 17:05:00,29
2019-11-22 17:06:00,47
2019-11-22 17:07:00,28
2019-11-22 17:08:00,42
2019-11-22 17:09:00,48
2019-11-22 17:10:00,31
2019-11-22 17:11:00,47
2019-11-22 17:12:00,31
2019-11-22 17:13:00,28
2019-11-22 17:14:00,45
2019-11-22 17:15:00,27
2019-11-22 17:16:00,32
2019-11-22 17:17:00,35
2019-11-22 17:18:00,35
2019-11-22 17:19:00,37
2019-11-22 17:20:00,38
2019-11-22 17:21:00,27
2019-11-22 17:22:00,20
2019-11-22 17:23:00,33
2019-11-22 17:24:00,24
2019-11-22 17:25:00,25
2019-11-22 17:26:00,24
2019-11-22 17:27:00,19
2019-11-22 17:28:00,28
2019-11-22 17:29:00,29
2019-11-22 17:30:00,21
2019-11-22 17:31:00,24
2019-11-22 17:32:00,25
2019-11-22 17:33:00,27
2019-11-22 17:34:00,22
2019-11-22 17:35:00,29
2019-11-22 17:36:00,27
2019-11-22 17:37:00,28
2019-11-22 17:38:00,49
2019-11-22 17:39:00,28
2019-11-22 17:40:00,40
2019-11-22 17:41:00,24
2019-11-22 17:42:00,27
2019-11-22 17:43:00,26
2019-11-22 17:44:00,17
2019-11-22 17:45:00,26
2019-11-22 17:46:00,18
2019-11-22 17:47:00,19
2019-11-22 17:48:00,35
2019-11-22 17:49:00,38
2019-11-22 17:50:00,32
2019-11-22 17:51:00,16
2019-11-22 17:52:00,41
2019-11-22 17:53:00,20
2019-11-22 17:54:00,40
2019-11-22 17:55:00,27
2019-11-22 17:56:00,27
2019-11-22 17:57:00,29
2019-11-22 17:58:00,20
2019-11-22 17:59:00,35
2019-11-22 18:00:00,18
2019-11-22 18:01:00,42
2019-11-22 18:02:00,36
2019-11-22 18:03:00,27
2019-11-22 18:04:00,32
2019-11-22 18:05:00,24
2019-11-22 18:06:00,20
2019-11-22 18:07:00,21
2019-11-22 18:08:00,26
2019-11-22 18:09:00,20
2019-11-22 18:10:00,22
2019-11-22 18:11:00,23
2019-11-22 18:12:00,22
2019-11-22 18:13:00,28
2019-11-22 18:14:00,15
2019-11-22 18:15:00,23
2019-11-22 18:16:00,15
2019-11-22 18:17:00,32
2019-11-22 18:18:00,20
2019-11-22 18:19:00,19
2019-11-22 18:20:00,20
2019-11-22 18:21:00,22
2019-11-22 18:22:00,20
2019-11-22 18:23:00,21
2019-11-22 18:24:00,22
2019-11-22 18:25:00,26
2019-11-22 18:26:00,36
2019-11-22 18:27:00,30
2019-11-22 18:28:00,35
2019-11-22 18:29:00,22
2019-11-22 18:30:00,31
2019-11-22 18:31:00,33
2019-11-22 18:32:00,37
2019-11-22 18:33:00,51
2019-11-22 18:34:00,73
2019-11-22 18:35:00,22
2019-11-22 18:36:00,35
2019-11-22 18:37:00,34
2019-11-22 18:38:00,27
2019-11-22 18:39:00,24
2019-11-22 18:40:00,31
2019-11-22 18:41:00,33
2019-11-22 18:42:00,36
2019-11-22 18:43:00,29
2019-11-22 18:44:00,29
2019-11-22 18:45:00,22
2019-11-22 18:46:00,28
2019-11-22 18:47:00,34
2019-11-22 18:48:00,39
2019-11-22 18:49:00,34
2019-11-22 18:50:00,28
2019-11-22 18:51:00,24
2019-11-22 18:52:00,33
2019-11-22 18:53:00,31
2019-11-22 18:54:00,27
2019-11-22 18:55:00,30
2019-11-22 18:56:00,28
2019-11-22 18:57:00,28
2019-11-22 18:58:00,36
2019-11-22 18:59:00,22
2019-11-22 19:00:00,23
2019-11-22 19:01:00,38
2019-11-22 19:02:00,37
2019-11-22 19:03:00,25
2019-11-22 19:04:00,25
2019-11-22 19:05:00,29
2019-11-22 19:06:00,21
2019-11-22 19:07:00,27
2019-11-22 19:08:00,22
2019-11-22 19:09:00,37
2019-11-22 19:10:00,30
2019-11-22 19:11:00,28
2019-11-22 19:12:00,25
2019-11-22 19:13:00,17
