17,"SELECT TOP # p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE  p.u BETWEEN # AND # AND g BETWEEN # AND #"
2019-11-22 19:48:00,1
2019-11-22 19:51:00,1
2019-11-22 19:56:00,1
2019-11-22 19:57:00,4
2019-11-22 20:08:00,1
2019-11-22 20:09:00,2
2019-11-22 20:11:00,2
2019-11-22 20:12:00,1
2019-11-22 20:13:00,1
2019-11-22 20:14:00,3
