43,"SELECT p.objId,p.ra,p.dec,p.petror9#_r, p.expAB_r,     p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i,     s.z, s.plate, s.mjd, s.fiberid,     extinction_g FROM galaxy AS p    JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.petror9#_r > #   and p.ra between # and #   and s.z between # and #   and p.g <#"
2019-11-22 09:26:00,1
2019-11-22 09:28:00,1
2019-11-22 09:29:00,1
2019-11-22 09:30:00,1
2019-11-22 09:31:00,1
2019-11-22 09:32:00,2
2019-11-22 09:33:00,2
2019-11-22 09:34:00,2
2019-11-22 09:35:00,2
2019-11-22 09:37:00,1
2019-11-22 09:39:00,2
2019-11-22 09:40:00,1
2019-11-22 09:41:00,3
2019-11-22 09:42:00,2
2019-11-22 09:43:00,1
2019-11-22 09:44:00,5
2019-11-22 09:51:00,3
2019-11-22 09:52:00,1
2019-11-22 09:53:00,2
2019-11-22 09:54:00,2
2019-11-22 09:55:00,1
2019-11-22 09:56:00,6
