263,"SELECT st.ra, st.dec, st.r from star as st JOIN dbo.fGetNearbyObjEq(#,#,#) as PN ON st.objID = PN.objID WHERE st.r < #"
2019-11-22 02:40:00,56
2019-11-22 08:32:00,74
2019-11-22 08:33:00,133
