11,"SELECT p.objId,p.ra,p.dec,p.petror9#_r, p.expAB_r,     p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i,      s.z, s.plate, s.mjd, s.fiberid FROM galaxy AS p    JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.petror9#_r > #   and s.z between # and #"
2019-11-22 08:31:00,1
2019-11-22 08:32:00,1
2019-11-22 09:12:00,1
2019-11-22 09:13:00,1
2019-11-22 09:14:00,1
2019-11-22 09:15:00,1
2019-11-22 09:16:00,1
2019-11-22 09:22:00,2
2019-11-22 11:55:00,1
2019-11-22 11:56:00,1
