146,"SELECT TOP # p.ra,p.dec,p.type,p.modelmag_g,p.modelmag_r,p.modelmag_i,p.run,p.rerun,p.camcol,p.field,p.obj,p.objid,dbo.fIAUFromEq(p.ra,p.dec),p.z,p.specobjid,p.specClass FROM SpecPhotoAll as p WHERE p.ra<# and p.ra># and p.dec># and p.dec<# and (p.specClass=# or p.specClass=#) order by p.modelmag_r"
2019-11-22 02:03:00,2
2019-11-22 02:04:00,3
2019-11-22 02:05:00,3
2019-11-22 02:06:00,1
2019-11-22 02:07:00,4
2019-11-22 02:08:00,4
2019-11-22 02:09:00,5
2019-11-22 02:10:00,5
2019-11-22 02:11:00,7
2019-11-22 02:12:00,5
2019-11-22 02:13:00,5
2019-11-22 02:14:00,2
2019-11-22 03:19:00,2
2019-11-22 03:20:00,1
2019-11-22 04:09:00,4
2019-11-22 04:10:00,1
2019-11-22 04:11:00,1
2019-11-22 04:17:00,2
2019-11-22 04:18:00,8
2019-11-22 04:19:00,3
2019-11-22 04:20:00,1
2019-11-22 04:39:00,5
2019-11-22 04:40:00,4
2019-11-22 04:50:00,1
2019-11-22 05:08:00,4
2019-11-22 05:27:00,8
2019-11-22 05:28:00,2
2019-11-22 05:29:00,1
2019-11-22 05:40:00,1
2019-11-22 05:41:00,5
2019-11-22 05:42:00,8
2019-11-22 05:43:00,6
2019-11-22 05:44:00,3
2019-11-22 05:45:00,2
2019-11-22 05:46:00,5
2019-11-22 05:47:00,7
2019-11-22 05:48:00,3
2019-11-22 05:49:00,1
2019-11-22 12:15:00,3
2019-11-22 12:17:00,3
2019-11-22 12:18:00,2
2019-11-22 12:19:00,2
2019-11-22 14:27:00,1
