685,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field, p.petroMag_u, p.petroMag_g, p.petroMag_r, p.petroMag_i, p.petroMag_z, p.petroMagErr_u, p.petroMagErr_g, p.petroMagErr_r, p.petroMagErr_i, p.petroMagErr_z, p.extinction_u, p.extinction_g, p.extinction_r, p.extinction_i, p.extinction_z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-10-14 18:46:00,2
2019-10-14 18:48:00,1
2019-10-14 18:49:00,3
2019-10-14 18:50:00,1
2019-10-14 18:51:00,1
2019-10-14 18:52:00,3
2019-10-14 18:53:00,2
2019-10-14 19:48:00,14
2019-10-14 19:59:00,19
2019-10-14 20:00:00,17
2019-10-14 20:01:00,33
2019-10-14 20:02:00,21
2019-10-14 20:03:00,7
2019-10-14 20:04:00,28
2019-10-14 20:06:00,3
2019-10-14 20:08:00,2
2019-10-14 20:10:00,2
2019-10-14 20:11:00,10
2019-10-14 20:12:00,29
2019-10-14 20:13:00,24
2019-10-14 20:14:00,31
2019-10-14 20:15:00,6
2019-10-14 20:16:00,27
2019-10-14 20:17:00,9
2019-10-14 20:21:00,23
2019-10-14 20:22:00,16
2019-10-14 20:23:00,25
2019-10-14 20:24:00,12
2019-10-14 20:25:00,18
2019-10-14 20:26:00,23
2019-10-14 20:27:00,31
2019-10-14 20:28:00,12
2019-10-14 20:29:00,7
2019-10-14 20:30:00,14
2019-10-14 20:31:00,20
2019-10-14 20:32:00,27
2019-10-14 20:33:00,5
2019-10-14 20:34:00,19
2019-10-14 20:36:00,26
2019-10-14 20:37:00,15
2019-10-14 20:38:00,12
2019-10-14 20:39:00,18
2019-10-14 20:40:00,15
2019-10-14 20:41:00,6
2019-10-14 20:42:00,3
2019-10-14 20:43:00,10
2019-10-14 20:44:00,8
2019-10-14 20:45:00,4
2019-10-14 20:47:00,1
2019-10-14 20:48:00,6
2019-10-14 20:49:00,4
2019-10-14 20:50:00,3
2019-10-14 20:55:00,3
2019-10-14 23:57:00,2
2019-10-14 23:58:00,2
