5,"SELECT TOP #  p.ra, p.dec, p.petroMag_r, p.petroMagErr_r, s.z, FROM photoobj as p JOIN specObj s ON s.bestObjID = p.objID WHERE class=&&&"
2019-10-14 00:11:00,1
2019-10-14 00:19:00,1
2019-10-14 00:20:00,2
2019-10-14 00:21:00,1
