332,"SELECT dbo.fInFootprintEq( #, #, # )"
2019-10-14 05:00:00,10
2019-10-14 05:01:00,15
2019-10-14 05:02:00,14
2019-10-14 05:03:00,12
2019-10-14 05:04:00,7
2019-10-14 05:05:00,7
2019-10-14 05:06:00,7
2019-10-14 05:07:00,14
2019-10-14 05:08:00,15
2019-10-14 05:09:00,15
2019-10-14 05:10:00,14
2019-10-14 05:11:00,14
2019-10-14 05:12:00,15
2019-10-14 05:13:00,15
2019-10-14 05:14:00,15
2019-10-14 05:15:00,14
2019-10-14 05:16:00,12
2019-10-14 05:17:00,9
2019-10-14 05:18:00,9
2019-10-14 05:20:00,6
2019-10-14 05:21:00,9
2019-10-14 05:22:00,11
2019-10-14 05:23:00,15
2019-10-14 05:24:00,15
2019-10-14 05:25:00,14
2019-10-14 05:26:00,15
2019-10-14 05:27:00,14
