6,"SELECT TOP #  p.ra, p.dec  FROM PhotoObj AS p   Join SpecObj AS s ON s.bestobjid = p.objid"
2019-10-14 16:37:00,2
2019-10-14 17:31:00,2
2019-10-14 17:33:00,1
2019-10-14 17:38:00,1
