28475,"SELECT gse.lgm_tot_p5#, gse.lgm_tot_p8#                FROM galSpecExtra AS gse                JOIN SpecObjAll AS s ON s.specObjID = gse.specObjID                WHERE s.mjd = # AND s.plate = # AND s.fiberID = #"
2019-10-14 10:19:00,15
2019-10-14 10:20:00,59
2019-10-14 10:21:00,60
2019-10-14 10:22:00,59
2019-10-14 10:23:00,60
2019-10-14 10:24:00,60
2019-10-14 10:25:00,59
2019-10-14 10:26:00,62
2019-10-14 10:27:00,62
2019-10-14 10:28:00,60
2019-10-14 10:29:00,59
2019-10-14 10:30:00,62
2019-10-14 10:31:00,62
2019-10-14 10:32:00,56
2019-10-14 10:33:00,61
2019-10-14 10:34:00,62
2019-10-14 10:35:00,59
2019-10-14 10:36:00,60
2019-10-14 10:37:00,62
2019-10-14 10:38:00,61
2019-10-14 10:39:00,61
2019-10-14 10:40:00,59
2019-10-14 10:41:00,60
2019-10-14 10:42:00,59
2019-10-14 10:43:00,62
2019-10-14 10:44:00,63
2019-10-14 10:45:00,60
2019-10-14 10:46:00,61
2019-10-14 10:47:00,59
2019-10-14 10:48:00,57
2019-10-14 10:49:00,61
2019-10-14 10:50:00,61
2019-10-14 10:51:00,62
2019-10-14 10:52:00,62
2019-10-14 10:53:00,58
2019-10-14 10:54:00,62
2019-10-14 10:55:00,62
2019-10-14 10:56:00,61
2019-10-14 10:57:00,61
2019-10-14 10:58:00,57
2019-10-14 10:59:00,60
2019-10-14 11:00:00,54
2019-10-14 11:01:00,58
2019-10-14 11:02:00,60
2019-10-14 11:03:00,60
2019-10-14 11:04:00,59
2019-10-14 11:05:00,59
2019-10-14 11:06:00,61
2019-10-14 11:07:00,59
2019-10-14 11:08:00,59
2019-10-14 11:09:00,61
2019-10-14 11:10:00,59
2019-10-14 11:11:00,60
2019-10-14 11:12:00,61
2019-10-14 11:13:00,62
2019-10-14 11:14:00,56
2019-10-14 11:15:00,60
2019-10-14 11:16:00,62
2019-10-14 11:17:00,60
2019-10-14 11:18:00,59
2019-10-14 11:19:00,62
2019-10-14 11:20:00,59
2019-10-14 11:21:00,62
2019-10-14 11:22:00,61
2019-10-14 11:23:00,62
2019-10-14 11:24:00,63
2019-10-14 11:25:00,61
2019-10-14 11:26:00,63
2019-10-14 11:27:00,62
2019-10-14 11:28:00,62
2019-10-14 11:29:00,62
2019-10-14 11:30:00,62
2019-10-14 11:31:00,62
2019-10-14 11:32:00,61
2019-10-14 11:33:00,61
2019-10-14 11:34:00,63
2019-10-14 11:35:00,61
2019-10-14 11:36:00,62
2019-10-14 11:37:00,62
2019-10-14 11:38:00,61
2019-10-14 11:39:00,62
2019-10-14 11:40:00,61
2019-10-14 11:41:00,60
2019-10-14 11:42:00,61
2019-10-14 11:43:00,61
2019-10-14 11:44:00,63
2019-10-14 11:45:00,62
2019-10-14 11:46:00,62
2019-10-14 11:47:00,63
2019-10-14 11:48:00,62
2019-10-14 11:49:00,48
2019-10-14 11:50:00,37
2019-10-14 11:51:00,63
2019-10-14 11:52:00,63
2019-10-14 11:53:00,62
2019-10-14 11:54:00,63
2019-10-14 11:55:00,63
2019-10-14 11:56:00,63
2019-10-14 11:57:00,63
2019-10-14 11:58:00,60
2019-10-14 11:59:00,62
2019-10-14 12:00:00,56
2019-10-14 12:01:00,62
2019-10-14 12:02:00,62
2019-10-14 12:03:00,61
2019-10-14 12:04:00,63
2019-10-14 12:05:00,62
2019-10-14 12:06:00,60
2019-10-14 12:07:00,62
2019-10-14 12:08:00,61
2019-10-14 12:09:00,61
2019-10-14 12:10:00,61
2019-10-14 12:11:00,62
2019-10-14 12:12:00,45
2019-10-14 12:13:00,62
2019-10-14 12:14:00,60
2019-10-14 12:15:00,62
2019-10-14 12:16:00,63
2019-10-14 12:17:00,64
2019-10-14 12:18:00,62
2019-10-14 12:19:00,63
2019-10-14 12:20:00,62
2019-10-14 12:21:00,63
2019-10-14 12:22:00,63
2019-10-14 12:23:00,63
2019-10-14 12:24:00,62
2019-10-14 12:25:00,64
2019-10-14 12:26:00,63
2019-10-14 12:27:00,63
2019-10-14 12:28:00,63
2019-10-14 12:29:00,63
2019-10-14 12:30:00,64
2019-10-14 12:31:00,62
2019-10-14 12:32:00,63
2019-10-14 12:33:00,63
2019-10-14 12:34:00,63
2019-10-14 12:35:00,64
2019-10-14 12:36:00,63
2019-10-14 12:37:00,63
2019-10-14 12:38:00,63
2019-10-14 12:39:00,61
2019-10-14 12:40:00,32
2019-10-14 12:42:00,21
2019-10-14 12:43:00,63
2019-10-14 12:44:00,64
2019-10-14 12:45:00,63
2019-10-14 12:46:00,62
2019-10-14 12:47:00,61
2019-10-14 12:48:00,60
2019-10-14 12:49:00,63
2019-10-14 12:50:00,62
2019-10-14 12:51:00,62
2019-10-14 12:52:00,63
2019-10-14 12:53:00,64
2019-10-14 12:54:00,64
2019-10-14 12:55:00,63
2019-10-14 12:56:00,63
2019-10-14 12:57:00,64
2019-10-14 12:58:00,62
2019-10-14 12:59:00,64
2019-10-14 13:00:00,56
2019-10-14 13:01:00,62
2019-10-14 13:02:00,63
2019-10-14 13:03:00,62
2019-10-14 13:04:00,63
2019-10-14 13:05:00,62
2019-10-14 13:06:00,61
2019-10-14 13:07:00,62
2019-10-14 13:08:00,62
2019-10-14 13:09:00,60
2019-10-14 13:10:00,60
2019-10-14 13:11:00,59
2019-10-14 13:12:00,60
2019-10-14 13:13:00,61
2019-10-14 13:14:00,58
2019-10-14 13:15:00,58
2019-10-14 13:16:00,60
2019-10-14 13:17:00,60
2019-10-14 13:18:00,61
2019-10-14 13:19:00,62
2019-10-14 13:20:00,58
2019-10-14 13:21:00,60
2019-10-14 13:22:00,60
2019-10-14 13:23:00,59
2019-10-14 13:24:00,61
2019-10-14 13:25:00,61
2019-10-14 13:26:00,61
2019-10-14 13:27:00,61
2019-10-14 13:28:00,52
2019-10-14 13:29:00,60
2019-10-14 13:30:00,59
2019-10-14 13:31:00,61
2019-10-14 13:32:00,60
2019-10-14 13:33:00,61
2019-10-14 13:34:00,60
2019-10-14 13:35:00,61
2019-10-14 13:36:00,55
2019-10-14 13:37:00,62
2019-10-14 13:38:00,60
2019-10-14 13:39:00,62
2019-10-14 13:40:00,60
2019-10-14 13:41:00,61
2019-10-14 13:42:00,61
2019-10-14 13:43:00,60
2019-10-14 13:44:00,61
2019-10-14 13:45:00,62
2019-10-14 13:46:00,60
2019-10-14 13:47:00,62
2019-10-14 13:48:00,60
