12,"SELECT first.plate, other.plate,   COUNT(DISTINCT other.mjd) + COUNT(DISTINCT first.mjd) AS nightsObserved,   otherPlate.programname, count(DISTINCT other.bestObjID) AS objects  FROM SpecObjAll first  JOIN SpecObjAll other ON first.bestObjID = other.bestObjID  JOIN PlateX AS firstPlate ON firstPlate.plate = first.plate  JOIN PlateX AS otherPlate ON otherPlate.plate = other.plate  WHERE first.scienceprimary = # AND other.scienceprimary = #   AND other.bestObjID > #  GROUP BY first.plate, other.plate, otherPlate.programname  ORDER BY nightsObserved DESC, otherPlate.programname,   first.plate, other.plate"
2019-10-14 01:17:00,1
2019-10-14 01:19:00,1
2019-10-14 01:22:00,1
2019-10-14 01:27:00,1
2019-10-14 01:36:00,1
2019-10-14 01:53:00,1
2019-10-14 03:42:00,1
2019-10-14 03:44:00,1
2019-10-14 03:47:00,1
2019-10-14 03:52:00,1
2019-10-14 04:01:00,1
2019-10-14 04:19:00,1
