11,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.class, s.z as redshift,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.u BETWEEN # AND #  AND g BETWEEN # AND #"
2019-10-14 00:21:00,1
2019-10-14 00:24:00,1
2019-10-14 01:55:00,1
2019-10-14 07:08:00,1
2019-10-14 07:39:00,1
2019-10-14 07:44:00,1
2019-10-14 08:19:00,2
2019-10-14 10:06:00,1
2019-10-14 10:31:00,1
2019-10-14 18:42:00,1
