6515,"SELECT TOP # P.ra, P.dec, P.psfMag_u, P.psfMagErr_u, P.petroMag_u, P.petroMagErr_u, P.modelMag_u, P.modelMagErr_u, P.psfMag_g, P.psfMagErr_g, P.petroMag_g, P.petroMagErr_g, P.modelMag_g, P.modelMagErr_g, P.psfMag_r, P.psfMagErr_r, P.petroMag_r, P.petroMagErr_r, P.modelMag_r, P.modelMagErr_r, P.psfMag_i, P.psfMagErr_i, P.petroMag_i, P.petroMagErr_i, P.modelMag_i, P.modelMagErr_i, P.psfMag_z, P.psfMagErr_z, P.petroMag_z, P.petroMagErr_z, P.modelMag_z, P.modelMagErr_z, P.expAB_r, P.expPhi_r, P.expRad_r FROM PhotoPrimary as P JOIN dbo.fGetNearbyObjEq(#,#, #) AS PN ON P.objID = PN.objID ORDER BY distance"
2019-03-17 20:08:00,103
2019-03-17 20:09:00,210
2019-03-17 20:10:00,223
2019-03-17 20:11:00,227
2019-03-17 20:12:00,226
2019-03-17 20:13:00,226
2019-03-17 20:14:00,210
2019-03-17 20:15:00,230
2019-03-17 20:16:00,229
2019-03-17 20:17:00,229
2019-03-17 20:18:00,237
2019-03-17 20:19:00,232
2019-03-17 20:20:00,230
2019-03-17 20:21:00,221
2019-03-17 20:22:00,219
2019-03-17 20:23:00,223
2019-03-17 20:24:00,234
2019-03-17 20:25:00,216
2019-03-17 20:26:00,246
2019-03-17 20:27:00,249
2019-03-17 20:28:00,248
2019-03-17 20:29:00,238
2019-03-17 20:30:00,235
2019-03-17 20:31:00,247
2019-03-17 20:32:00,241
2019-03-17 20:33:00,237
2019-03-17 20:34:00,249
2019-03-17 20:35:00,241
2019-03-17 20:36:00,159
