441,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-03-17 12:50:00,23
2019-03-17 13:06:00,11
2019-03-17 13:07:00,5
2019-03-17 13:08:00,14
2019-03-17 13:12:00,9
2019-03-17 13:22:00,15
2019-03-17 13:26:00,4
2019-03-17 13:38:00,14
2019-03-17 13:41:00,9
2019-03-17 13:43:00,171
2019-03-17 13:52:00,34
2019-03-17 13:56:00,6
2019-03-17 14:10:00,8
2019-03-17 14:21:00,7
2019-03-17 14:29:00,10
2019-03-17 14:30:00,3
2019-03-17 14:31:00,19
2019-03-17 14:34:00,6
2019-03-17 14:42:00,21
2019-03-17 14:43:00,4
2019-03-17 14:44:00,6
2019-03-17 14:46:00,29
2019-03-17 14:49:00,13
