176,select * from galSpecIndx where specObjId=#
2019-03-17 01:19:00,1
2019-03-17 02:43:00,1
2019-03-17 08:02:00,1
2019-03-17 08:18:00,1
2019-03-17 10:23:00,1
2019-03-17 12:45:00,1
2019-03-17 14:19:00,1
2019-03-17 16:03:00,4
2019-03-17 16:04:00,31
2019-03-17 16:05:00,26
2019-03-17 16:06:00,30
2019-03-17 17:50:00,14
2019-03-17 18:12:00,1
2019-03-17 18:48:00,1
2019-03-17 18:53:00,1
2019-03-17 20:20:00,1
2019-03-17 20:41:00,1
2019-03-17 21:06:00,1
2019-03-17 21:49:00,10
2019-03-17 23:27:00,24
2019-03-17 23:28:00,23
2019-03-17 23:38:00,1
