7,"select count(*) as count from photoobj p, specobj s where p.objid=s.bestobjid and p.g > #  and (s.class = &&&) and s.z BETWEEN # AND #"
2019-03-17 19:49:00,1
2019-03-17 19:50:00,3
2019-03-17 19:51:00,3
