10996,"SELECT TOP # p.objid,  p.run, p.rerun, p.camcol, p.field, p.obj,  p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,  p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z  FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p  WHERE n.objID=p.objID"
2019-09-20 00:00:00,6
2019-09-20 00:01:00,1
2019-09-20 00:02:00,1
2019-09-20 00:03:00,1
2019-09-20 00:05:00,3
2019-09-20 00:07:00,25
2019-09-20 00:08:00,37
2019-09-20 00:09:00,2
2019-09-20 00:10:00,6
2019-09-20 00:11:00,1
2019-09-20 00:12:00,1
2019-09-20 00:13:00,1
2019-09-20 00:15:00,3
2019-09-20 00:17:00,25
2019-09-20 00:18:00,37
2019-09-20 00:19:00,2
2019-09-20 00:20:00,6
2019-09-20 00:21:00,1
2019-09-20 00:22:00,1
2019-09-20 00:23:00,1
2019-09-20 00:25:00,3
2019-09-20 00:27:00,23
2019-09-20 00:28:00,39
2019-09-20 00:29:00,2
2019-09-20 00:30:00,6
2019-09-20 00:31:00,1
2019-09-20 00:32:00,1
2019-09-20 00:33:00,1
2019-09-20 00:35:00,3
2019-09-20 00:37:00,28
2019-09-20 00:38:00,37
2019-09-20 00:39:00,2
2019-09-20 00:40:00,6
2019-09-20 00:41:00,1
2019-09-20 00:42:00,1
2019-09-20 00:45:00,1
2019-09-20 00:47:00,28
2019-09-20 00:48:00,37
2019-09-20 00:49:00,2
2019-09-20 00:50:00,6
2019-09-20 00:51:00,1
2019-09-20 00:52:00,1
2019-09-20 00:55:00,1
2019-09-20 00:57:00,24
2019-09-20 00:58:00,42
2019-09-20 00:59:00,2
2019-09-20 01:00:00,4
2019-09-20 01:02:00,7
2019-09-20 01:03:00,1
2019-09-20 01:07:00,23
2019-09-20 01:08:00,44
2019-09-20 01:09:00,2
2019-09-20 01:11:00,1
2019-09-20 01:12:00,8
2019-09-20 01:13:00,1
2019-09-20 01:15:00,1
2019-09-20 01:17:00,25
2019-09-20 01:18:00,42
2019-09-20 01:19:00,2
2019-09-20 01:22:00,7
2019-09-20 01:23:00,1
2019-09-20 01:25:00,1
2019-09-20 01:27:00,23
2019-09-20 01:28:00,44
2019-09-20 01:29:00,2
2019-09-20 01:32:00,7
2019-09-20 01:33:00,1
2019-09-20 01:35:00,1
2019-09-20 01:37:00,23
2019-09-20 01:38:00,42
2019-09-20 01:39:00,2
2019-09-20 01:42:00,7
2019-09-20 01:43:00,1
2019-09-20 01:45:00,1
2019-09-20 01:47:00,23
2019-09-20 01:48:00,42
2019-09-20 01:49:00,2
2019-09-20 01:52:00,7
2019-09-20 01:53:00,1
2019-09-20 01:55:00,1
2019-09-20 01:57:00,25
2019-09-20 01:58:00,42
2019-09-20 01:59:00,2
2019-09-20 02:02:00,7
2019-09-20 02:03:00,1
2019-09-20 02:07:00,23
2019-09-20 02:08:00,42
2019-09-20 02:09:00,2
2019-09-20 02:12:00,7
2019-09-20 02:13:00,1
2019-09-20 02:15:00,1
2019-09-20 02:17:00,23
2019-09-20 02:18:00,42
2019-09-20 02:19:00,2
2019-09-20 02:22:00,7
2019-09-20 02:23:00,1
2019-09-20 02:25:00,1
2019-09-20 02:27:00,23
2019-09-20 02:28:00,42
2019-09-20 02:29:00,2
2019-09-20 02:32:00,7
2019-09-20 02:33:00,1
2019-09-20 02:35:00,1
2019-09-20 02:37:00,23
2019-09-20 02:38:00,42
2019-09-20 02:39:00,2
2019-09-20 02:42:00,7
2019-09-20 02:43:00,1
2019-09-20 02:45:00,1
2019-09-20 02:47:00,23
2019-09-20 02:48:00,44
2019-09-20 02:49:00,2
2019-09-20 02:52:00,7
2019-09-20 02:53:00,1
2019-09-20 02:55:00,1
