2,"SELECT TOP # s.teffspec,  sp.spectroFlux_u as FluxU, sp.spectroFlux_g as FluxG, sp.spectroFlux_r as FluxR, sp.spectroFlux_i as FluxI, sp.spectroFlux_z as FluxZ,  p.psfmag_u as MagU, p.psfmag_g as MagG, p.psfmag_r as MagR, p.psfmag_i as MagI, p.psfmag_z as MagZ,  sp.elodiebv FROM DR1#.sppParams as s JOIN DR1#.SpecObjAll as sp ON s.specobjid = sp.specobjid JOIN DR1#.PhotoObjAll as p ON sp.bestobjid = p.objid WHERE s.teffspec > # INTO data_analysis_exercise_#"
2019-09-20 07:12:00,1
2019-09-20 07:13:00,1
