29,select distinct parent from DBViewCols where viewname=&&&
2019-09-20 00:08:00,2
2019-09-20 00:09:00,1
2019-09-20 01:10:00,1
2019-09-20 01:11:00,1
2019-09-20 02:54:00,1
2019-09-20 03:22:00,1
2019-09-20 03:35:00,1
2019-09-20 03:36:00,1
2019-09-20 07:40:00,1
2019-09-20 09:55:00,1
2019-09-20 11:48:00,1
2019-09-20 13:57:00,1
2019-09-20 14:22:00,2
2019-09-20 14:28:00,1
2019-09-20 14:32:00,1
2019-09-20 15:14:00,2
2019-09-20 15:19:00,1
2019-09-20 16:50:00,1
2019-09-20 17:17:00,3
2019-09-20 18:52:00,1
2019-09-20 19:00:00,1
2019-09-20 19:27:00,1
2019-09-20 19:37:00,1
2019-09-20 21:52:00,1
