17,"SELECT TOP #  s.plate,s.mjd,s.fiberid  FROM ..SpecObj as s  JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS b ON b.SpecobjID = S.SpecobjID  WHERE s.zWarning = #"
2019-09-20 05:20:00,1
2019-09-20 06:20:00,1
2019-09-20 08:23:00,1
2019-09-20 08:24:00,1
2019-09-20 08:25:00,3
2019-09-20 08:26:00,1
2019-09-20 08:31:00,1
2019-09-20 10:21:00,1
2019-09-20 11:26:00,1
2019-09-20 11:34:00,1
2019-09-20 11:42:00,1
2019-09-20 11:43:00,1
2019-09-20 20:39:00,1
2019-09-20 20:42:00,1
2019-09-20 23:00:00,1
