28,select count(*) as thecount
2019-09-20 10:07:00,1
2019-09-20 10:10:00,1
2019-09-20 10:11:00,1
2019-09-20 10:44:00,1
2019-09-20 10:51:00,1
2019-09-20 12:52:00,1
2019-09-20 12:58:00,1
2019-09-20 13:23:00,1
2019-09-20 13:25:00,1
2019-09-20 13:57:00,3
2019-09-20 14:26:00,2
2019-09-20 14:28:00,1
2019-09-20 14:56:00,1
2019-09-20 14:57:00,1
2019-09-20 15:24:00,1
2019-09-20 15:38:00,1
2019-09-20 16:10:00,1
2019-09-20 16:11:00,1
2019-09-20 16:13:00,1
2019-09-20 16:54:00,1
2019-09-20 16:55:00,1
2019-09-20 17:36:00,2
2019-09-20 18:37:00,1
2019-09-20 18:38:00,1
