104,select * from fDocFunctionParams(&&&)
2019-09-20 00:08:00,12
2019-09-20 00:09:00,4
2019-09-20 00:10:00,5
2019-09-20 00:19:00,1
2019-09-20 01:00:00,1
2019-09-20 01:10:00,7
2019-09-20 01:11:00,10
2019-09-20 01:12:00,5
2019-09-20 01:14:00,1
2019-09-20 01:33:00,1
2019-09-20 03:16:00,1
2019-09-20 03:45:00,4
2019-09-20 03:46:00,7
2019-09-20 03:47:00,1
2019-09-20 04:51:00,1
2019-09-20 04:52:00,1
2019-09-20 07:53:00,1
2019-09-20 09:40:00,1
2019-09-20 09:47:00,1
2019-09-20 09:52:00,1
2019-09-20 10:23:00,1
2019-09-20 11:16:00,1
2019-09-20 12:32:00,12
2019-09-20 12:34:00,12
2019-09-20 13:34:00,1
2019-09-20 13:36:00,1
2019-09-20 14:16:00,1
2019-09-20 14:18:00,1
2019-09-20 19:24:00,1
2019-09-20 19:34:00,1
2019-09-20 20:57:00,1
2019-09-20 22:04:00,1
2019-09-20 22:28:00,1
2019-09-20 22:33:00,1
2019-09-20 23:20:00,1
2019-09-20 23:40:00,1
