27,select top # * from galaxy
2019-09-20 00:45:00,1
2019-09-20 02:08:00,1
2019-09-20 03:00:00,1
2019-09-20 04:36:00,1
2019-09-20 05:00:00,1
2019-09-20 06:06:00,1
2019-09-20 08:08:00,1
2019-09-20 08:23:00,1
2019-09-20 09:08:00,1
2019-09-20 09:33:00,1
2019-09-20 09:39:00,1
2019-09-20 10:33:00,1
2019-09-20 10:39:00,1
2019-09-20 11:52:00,1
2019-09-20 11:56:00,1
2019-09-20 12:53:00,1
2019-09-20 13:10:00,1
2019-09-20 14:15:00,1
2019-09-20 15:07:00,1
2019-09-20 15:18:00,1
2019-09-20 18:18:00,1
2019-09-20 19:34:00,1
2019-09-20 20:28:00,1
2019-09-20 21:13:00,1
2019-09-20 22:23:00,1
2019-09-20 23:02:00,1
2019-09-20 23:19:00,1
