20,"SELECT  top #   p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID  AND p.u BETWEEN # AND #"
2019-09-20 00:08:00,1
2019-09-20 00:09:00,2
2019-09-20 00:46:00,1
2019-09-20 00:55:00,1
2019-09-20 01:39:00,1
2019-09-20 01:56:00,1
2019-09-20 02:10:00,1
2019-09-20 02:36:00,1
2019-09-20 08:07:00,1
2019-09-20 09:33:00,1
2019-09-20 10:39:00,1
2019-09-20 11:55:00,1
2019-09-20 13:30:00,1
2019-09-20 13:52:00,1
2019-09-20 15:18:00,1
2019-09-20 16:21:00,1
2019-09-20 21:12:00,1
2019-09-20 22:12:00,1
2019-09-20 23:02:00,1
