21,"select top # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.z as redshift from galaxy p, specobj s, dbo.fgetNearByObjEq(#,#,#) n where p.objid=s.bestobjid and p.objid=n.objid and s.bestobjid=n.objid and s.z BETWEEN # AND #"
2019-09-20 01:29:00,1
2019-09-20 01:30:00,1
2019-09-20 01:31:00,1
2019-09-20 01:33:00,1
2019-09-20 01:34:00,1
2019-09-20 01:45:00,1
2019-09-20 01:46:00,2
2019-09-20 01:47:00,1
2019-09-20 01:49:00,2
2019-09-20 01:57:00,1
2019-09-20 01:58:00,1
2019-09-20 02:07:00,1
2019-09-20 02:09:00,1
2019-09-20 02:22:00,1
2019-09-20 02:43:00,1
2019-09-20 03:03:00,1
2019-09-20 05:49:00,3
