262,"select p.run, p.camcol, p.field from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-09-20 00:00:00,2
2019-09-20 00:01:00,2
2019-09-20 00:03:00,1
2019-09-20 00:04:00,1
2019-09-20 00:10:00,4
2019-09-20 00:11:00,6
2019-09-20 00:13:00,2
2019-09-20 00:17:00,2
2019-09-20 00:22:00,5
2019-09-20 00:23:00,2
2019-09-20 00:24:00,2
2019-09-20 00:41:00,7
2019-09-20 00:44:00,2
2019-09-20 00:48:00,2
2019-09-20 01:07:00,6
2019-09-20 01:08:00,2
2019-09-20 01:09:00,1
2019-09-20 01:12:00,2
2019-09-20 01:59:00,7
2019-09-20 02:01:00,1
2019-09-20 02:05:00,2
2019-09-20 03:24:00,8
2019-09-20 03:25:00,2
2019-09-20 03:26:00,1
2019-09-20 03:29:00,2
2019-09-20 03:52:00,4
2019-09-20 03:54:00,1
2019-09-20 04:19:00,1
2019-09-20 04:20:00,4
2019-09-20 04:22:00,1
2019-09-20 04:38:00,8
2019-09-20 04:39:00,2
2019-09-20 04:40:00,1
2019-09-20 04:42:00,2
2019-09-20 04:52:00,8
2019-09-20 04:53:00,2
2019-09-20 04:54:00,1
2019-09-20 04:57:00,2
2019-09-20 05:07:00,4
2019-09-20 05:08:00,6
2019-09-20 05:09:00,1
2019-09-20 05:11:00,2
2019-09-20 05:24:00,5
2019-09-20 05:25:00,2
2019-09-20 05:26:00,1
2019-09-20 05:29:00,2
2019-09-20 05:38:00,2
2019-09-20 05:39:00,6
2019-09-20 05:40:00,2
2019-09-20 05:41:00,1
2019-09-20 05:43:00,2
2019-09-20 05:55:00,4
2019-09-20 05:56:00,4
2019-09-20 05:57:00,2
2019-09-20 05:58:00,2
2019-09-20 06:00:00,2
2019-09-20 06:11:00,8
2019-09-20 06:13:00,3
2019-09-20 06:16:00,2
2019-09-20 06:26:00,4
2019-09-20 06:27:00,4
2019-09-20 06:28:00,2
2019-09-20 06:29:00,2
2019-09-20 06:42:00,8
2019-09-20 06:44:00,4
2019-09-20 06:46:00,2
2019-09-20 07:52:00,4
2019-09-20 07:53:00,1
2019-09-20 07:55:00,1
2019-09-20 08:29:00,8
2019-09-20 08:31:00,5
2019-09-20 08:34:00,2
2019-09-20 08:44:00,6
2019-09-20 08:45:00,4
2019-09-20 08:47:00,2
2019-09-20 08:48:00,2
2019-09-20 09:00:00,6
2019-09-20 09:01:00,2
2019-09-20 09:03:00,3
2019-09-20 09:05:00,2
2019-09-20 09:17:00,8
2019-09-20 09:20:00,4
2019-09-20 09:22:00,2
