179,"SELECT ra,dec,u,err_u,g,err_g,r,err_r,i,err_i,z,err_z FROM Star WHERE ra BETWEEN # AND # AND dec BETWEEN # and # AND g<#"
2019-09-20 13:48:00,1
2019-09-20 13:52:00,1
2019-09-20 13:54:00,1
2019-09-20 13:56:00,2
2019-09-20 14:03:00,1
2019-09-20 14:11:00,1
2019-09-20 14:15:00,2
2019-09-20 14:19:00,1
2019-09-20 14:20:00,1
2019-09-20 14:26:00,1
2019-09-20 14:44:00,1
2019-09-20 14:46:00,1
2019-09-20 14:47:00,1
2019-09-20 14:50:00,2
2019-09-20 14:52:00,1
2019-09-20 14:57:00,1
2019-09-20 15:01:00,1
2019-09-20 15:12:00,1
2019-09-20 15:13:00,1
2019-09-20 15:17:00,1
2019-09-20 15:20:00,1
2019-09-20 15:23:00,1
2019-09-20 15:24:00,1
2019-09-20 15:27:00,1
2019-09-20 15:31:00,1
2019-09-20 15:32:00,1
2019-09-20 15:37:00,1
2019-09-20 15:39:00,1
2019-09-20 15:44:00,2
2019-09-20 15:48:00,1
2019-09-20 15:51:00,2
2019-09-20 15:54:00,1
2019-09-20 15:56:00,1
2019-09-20 16:13:00,1
2019-09-20 16:24:00,1
2019-09-20 16:25:00,1
2019-09-20 16:27:00,1
2019-09-20 16:32:00,2
2019-09-20 16:34:00,1
2019-09-20 16:36:00,1
2019-09-20 16:37:00,2
2019-09-20 16:41:00,1
2019-09-20 16:44:00,1
2019-09-20 16:46:00,2
2019-09-20 16:59:00,1
2019-09-20 17:00:00,1
2019-09-20 17:01:00,1
2019-09-20 17:05:00,1
2019-09-20 17:06:00,1
2019-09-20 17:08:00,1
2019-09-20 17:16:00,1
2019-09-20 17:19:00,1
2019-09-20 17:23:00,1
2019-09-20 17:24:00,1
2019-09-20 17:25:00,2
2019-09-20 17:30:00,1
2019-09-20 17:34:00,1
2019-09-20 17:36:00,2
2019-09-20 17:37:00,1
2019-09-20 17:41:00,1
2019-09-20 17:44:00,1
2019-09-20 17:45:00,1
2019-09-20 17:46:00,1
2019-09-20 17:50:00,1
2019-09-20 17:52:00,1
2019-09-20 17:53:00,2
2019-09-20 17:56:00,1
2019-09-20 18:02:00,1
2019-09-20 18:05:00,1
2019-09-20 18:07:00,1
2019-09-20 18:11:00,1
2019-09-20 18:13:00,2
2019-09-20 18:14:00,1
2019-09-20 18:18:00,1
2019-09-20 18:20:00,1
2019-09-20 18:22:00,2
2019-09-20 18:27:00,1
2019-09-20 18:28:00,1
2019-09-20 18:29:00,1
2019-09-20 18:31:00,1
2019-09-20 18:33:00,1
2019-09-20 18:36:00,1
2019-09-20 18:38:00,1
2019-09-20 18:39:00,1
2019-09-20 18:40:00,1
2019-09-20 18:41:00,1
2019-09-20 18:45:00,1
2019-09-20 18:47:00,1
2019-09-20 18:48:00,1
2019-09-20 18:52:00,2
2019-09-20 18:56:00,1
2019-09-20 18:58:00,1
2019-09-20 18:59:00,1
2019-09-20 19:00:00,1
2019-09-20 19:04:00,1
2019-09-20 19:08:00,2
2019-09-20 19:13:00,1
2019-09-20 19:16:00,2
2019-09-20 19:17:00,1
2019-09-20 19:24:00,1
2019-09-20 19:26:00,1
2019-09-20 19:27:00,1
2019-09-20 19:29:00,1
2019-09-20 19:30:00,1
2019-09-20 19:31:00,1
2019-09-20 19:32:00,1
2019-09-20 19:34:00,1
2019-09-20 19:37:00,1
2019-09-20 19:38:00,1
2019-09-20 19:44:00,1
2019-09-20 19:49:00,1
2019-09-20 19:50:00,1
2019-09-20 19:52:00,2
2019-09-20 19:55:00,1
2019-09-20 20:00:00,1
2019-09-20 20:01:00,1
2019-09-20 20:03:00,1
2019-09-20 20:04:00,1
2019-09-20 20:09:00,1
2019-09-20 20:10:00,2
2019-09-20 20:14:00,1
2019-09-20 20:15:00,1
2019-09-20 20:16:00,1
2019-09-20 20:18:00,1
2019-09-20 20:24:00,1
2019-09-20 20:25:00,1
2019-09-20 20:33:00,1
2019-09-20 20:36:00,1
2019-09-20 20:43:00,1
2019-09-20 20:47:00,1
2019-09-20 20:51:00,2
2019-09-20 20:59:00,2
2019-09-20 21:04:00,1
2019-09-20 21:07:00,2
2019-09-20 21:11:00,1
2019-09-20 21:27:00,2
2019-09-20 21:29:00,1
2019-09-20 21:32:00,1
2019-09-20 21:33:00,1
2019-09-20 21:40:00,2
2019-09-20 21:41:00,1
2019-09-20 21:46:00,1
2019-09-20 21:48:00,1
2019-09-20 21:51:00,1
2019-09-20 21:53:00,1
2019-09-20 21:59:00,1
2019-09-20 22:00:00,1
2019-09-20 22:01:00,1
2019-09-20 22:07:00,1
2019-09-20 22:08:00,1
2019-09-20 22:11:00,1
2019-09-20 22:17:00,1
2019-09-20 22:23:00,1
2019-09-20 22:24:00,1
2019-09-20 22:26:00,1
2019-09-20 22:32:00,1
