222,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName=&&& order by [indexMapId]"
2019-11-03 00:00:00,18
2019-11-03 01:36:00,1
2019-11-03 04:08:00,18
2019-11-03 06:01:00,42
2019-11-03 11:24:00,42
2019-11-03 13:10:00,18
2019-11-03 14:16:00,3
2019-11-03 17:13:00,3
2019-11-03 17:23:00,60
2019-11-03 17:35:00,3
2019-11-03 18:32:00,2
2019-11-03 18:34:00,4
2019-11-03 21:12:00,2
2019-11-03 21:30:00,3
2019-11-03 22:52:00,2
2019-11-03 23:06:00,1
