66,"select name, type, description from DBObjects where  type in (&&&,&&&) and access=&&& and UPPER(name) like &&&"
2019-11-03 00:39:00,1
2019-11-03 00:42:00,1
2019-11-03 01:02:00,1
2019-11-03 01:10:00,1
2019-11-03 01:13:00,1
2019-11-03 01:18:00,1
2019-11-03 01:43:00,1
2019-11-03 03:31:00,1
2019-11-03 04:03:00,1
2019-11-03 04:04:00,4
2019-11-03 04:05:00,11
2019-11-03 04:26:00,1
2019-11-03 04:31:00,1
2019-11-03 04:33:00,2
2019-11-03 09:02:00,1
2019-11-03 09:04:00,1
2019-11-03 10:07:00,1
2019-11-03 13:18:00,1
2019-11-03 13:31:00,1
2019-11-03 15:58:00,1
2019-11-03 16:07:00,2
2019-11-03 16:13:00,1
2019-11-03 16:23:00,1
2019-11-03 16:45:00,1
2019-11-03 16:53:00,1
2019-11-03 16:55:00,1
2019-11-03 17:07:00,1
2019-11-03 17:12:00,1
2019-11-03 17:22:00,1
2019-11-03 17:30:00,1
2019-11-03 17:32:00,1
2019-11-03 17:35:00,1
2019-11-03 17:39:00,1
2019-11-03 17:41:00,1
2019-11-03 17:49:00,1
2019-11-03 17:55:00,1
2019-11-03 17:59:00,1
2019-11-03 18:01:00,2
2019-11-03 18:02:00,1
2019-11-03 18:03:00,1
2019-11-03 18:40:00,2
2019-11-03 18:41:00,1
2019-11-03 18:42:00,1
2019-11-03 19:09:00,1
2019-11-03 19:10:00,1
2019-11-03 20:52:00,1
2019-11-03 22:13:00,1
2019-11-03 22:14:00,1
2019-11-03 22:29:00,1
