15,"SELECT TOP #  s.plate,s.mjd,s.fiberid,s.specObjID  FROM ..SpecObj as s  JOIN Star AS p ON s.bestobjid=p.objid  WHERE s.zWarning = # AND (s.class = &&&) AND p.g < # AND (p.g - p.r) > # AND (p.g - p.r) < #"
2019-11-03 00:15:00,1
2019-11-03 00:16:00,1
2019-11-03 00:52:00,1
2019-11-03 00:53:00,1
2019-11-03 01:05:00,1
2019-11-03 01:22:00,1
2019-11-03 01:26:00,1
2019-11-03 01:37:00,1
2019-11-03 01:42:00,1
2019-11-03 01:46:00,1
2019-11-03 01:50:00,1
2019-11-03 01:59:00,1
2019-11-03 02:12:00,1
2019-11-03 02:26:00,1
2019-11-03 02:28:00,1
