11,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.class, s.z as redshift,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.u BETWEEN # AND #  AND g BETWEEN # AND #"
2019-11-03 00:30:00,1
2019-11-03 00:32:00,1
2019-11-03 11:29:00,1
2019-11-03 13:48:00,1
2019-11-03 13:50:00,1
2019-11-03 17:13:00,1
2019-11-03 18:14:00,1
2019-11-03 23:12:00,1
2019-11-03 23:16:00,1
2019-11-03 23:17:00,1
2019-11-03 23:25:00,1
