354,"SELECT p.objid, p.psfMag_u AS u, p.psfMagErr_u as u_err, p.psfMag_g AS g, p.psfMagErr_g as g_err, s.elodieTEff,  s.elodieLogG, p.dered_r AS r, p.psfMagErr_r as r_err, p.dered_i AS i, p.psfMagErr_i as i_err, p.dered_z AS z, p.psfMagErr_z as z_err, p.b AS b, p.l as l FROM photoObj p JOIN segue1SpecObjAll s ON s.bestObjID = p.objid WHERE p.type = # AND p.psfMag_g BETWEEN # AND # AND p.psfMag_u/p.psfMagerr_u > # AND p.psfMag_g/p.psfMagerr_g > # AND p.psfMag_r/p.psfMagerr_r > # AND p.psfMag_i/p.psfMagerr_i > # AND p.psfMag_z/p.psfMagerr_z > # AND p.b BETWEEN # AND #"
2019-11-03 15:58:00,22
2019-11-03 15:59:00,12
2019-11-03 16:01:00,9
2019-11-03 16:05:00,9
2019-11-03 16:26:00,9
2019-11-03 16:45:00,9
2019-11-03 16:50:00,9
2019-11-03 16:51:00,26
2019-11-03 16:52:00,29
2019-11-03 16:53:00,21
2019-11-03 16:54:00,15
2019-11-03 16:55:00,4
2019-11-03 16:56:00,19
2019-11-03 16:57:00,19
2019-11-03 16:59:00,11
2019-11-03 17:00:00,19
2019-11-03 17:01:00,8
2019-11-03 17:05:00,9
2019-11-03 17:06:00,19
2019-11-03 17:08:00,19
2019-11-03 17:11:00,7
2019-11-03 17:12:00,12
2019-11-03 17:24:00,16
2019-11-03 17:25:00,3
2019-11-03 17:31:00,19
