12,"select count(*) as count from star p, dbo.fgetNearByObjEq(#,#,#) n where p.objid=n.objid and p.r < #"
2019-02-11 03:02:00,1
2019-02-11 03:03:00,1
2019-02-11 03:04:00,2
2019-02-11 03:05:00,2
2019-02-11 03:06:00,1
2019-02-11 03:08:00,1
2019-02-11 03:09:00,2
2019-02-11 03:10:00,2
