15,"SELECT TOP # fld.run, fld.avg_sky_muJy, fld.runarea AS area, ISNULL(fp.nfirstmatch,#)  FROM (   SELECT run, sum(primaryArea) AS runarea,  #e6*avg(power(cast(#. as float),#*sky_r)) as avg_sky_muJy  FROM Field  GROUP BY run  ) AS fld  LEFT OUTER JOIN (   SELECT p.run, count(*) AS nfirstmatch  FROM FIRST AS fm  INNER JOIN photoprimary as p  ON p.objid=fm.objid  GROUP BY p.run  ) AS fp  ON fld.run=fp.run  ORDER BY fld.run"
2019-02-11 08:32:00,1
2019-02-11 11:13:00,1
2019-02-11 21:35:00,1
2019-02-11 21:37:00,1
2019-02-11 21:40:00,1
2019-02-11 21:45:00,1
2019-02-11 21:54:00,1
2019-02-11 22:11:00,1
2019-02-11 22:17:00,1
2019-02-11 22:37:00,1
2019-02-11 22:39:00,1
2019-02-11 22:42:00,1
2019-02-11 22:47:00,1
2019-02-11 22:56:00,1
2019-02-11 23:13:00,1
