288,"SELECT TOP # dbo.fIAUFromEq(p.ra,p.dec),p.ra,p.dec,p.modelmag_g,p.modelmag_r,p.modelmag_i FROM Star as p WHERE p.modelmag_r># and p.modelmag_r<# and p.ra<# and p.ra># and p.dec># and p.dec<# order by p.modelmag_r"
2019-02-11 00:45:00,2
2019-02-11 00:47:00,2
2019-02-11 00:49:00,3
2019-02-11 00:53:00,5
2019-02-11 00:54:00,6
2019-02-11 00:55:00,3
2019-02-11 00:56:00,4
2019-02-11 00:57:00,6
2019-02-11 00:58:00,6
2019-02-11 00:59:00,11
2019-02-11 01:00:00,5
2019-02-11 01:01:00,4
2019-02-11 01:02:00,4
2019-02-11 01:03:00,10
2019-02-11 01:04:00,9
2019-02-11 01:05:00,2
2019-02-11 01:23:00,1
2019-02-11 01:24:00,10
2019-02-11 01:30:00,7
2019-02-11 01:31:00,2
2019-02-11 01:48:00,1
2019-02-11 01:49:00,2
2019-02-11 01:50:00,2
2019-02-11 01:51:00,5
2019-02-11 01:52:00,2
2019-02-11 02:00:00,1
2019-02-11 02:01:00,2
2019-02-11 02:02:00,2
2019-02-11 02:04:00,5
2019-02-11 02:05:00,2
2019-02-11 02:30:00,3
2019-02-11 02:31:00,5
2019-02-11 02:45:00,3
2019-02-11 02:48:00,3
2019-02-11 03:02:00,1
2019-02-11 03:03:00,6
2019-02-11 03:08:00,7
2019-02-11 03:09:00,3
2019-02-11 03:15:00,2
2019-02-11 03:16:00,4
2019-02-11 03:17:00,4
2019-02-11 03:19:00,1
2019-02-11 03:21:00,2
2019-02-11 03:22:00,2
2019-02-11 03:26:00,1
2019-02-11 03:27:00,1
2019-02-11 03:28:00,7
2019-02-11 03:30:00,6
2019-02-11 05:11:00,2
2019-02-11 05:12:00,1
2019-02-11 05:13:00,3
2019-02-11 06:00:00,3
2019-02-11 06:01:00,1
2019-02-11 06:02:00,1
2019-02-11 06:03:00,5
2019-02-11 06:04:00,6
2019-02-11 06:05:00,2
2019-02-11 06:09:00,3
2019-02-11 06:10:00,2
2019-02-11 06:11:00,8
2019-02-11 06:13:00,1
2019-02-11 06:14:00,3
2019-02-11 06:15:00,3
2019-02-11 06:16:00,6
2019-02-11 06:17:00,2
2019-02-11 06:18:00,4
2019-02-11 06:20:00,2
2019-02-11 06:21:00,3
2019-02-11 06:28:00,9
2019-02-11 06:29:00,1
2019-02-11 17:46:00,10
2019-02-11 19:03:00,3
2019-02-11 19:04:00,9
2019-02-11 23:10:00,6
2019-02-11 23:13:00,2
