10,"select count(*) as count from galaxy p, dbo.fgetNearByObjEq(#,#,#) n where p.objid=n.objid and p.r < #"
2019-02-11 03:11:00,1
2019-02-11 03:12:00,2
2019-02-11 03:13:00,2
2019-02-11 03:14:00,1
2019-02-11 03:15:00,4
