21,"select name, type, description from DBObjects where  type in (&&&,&&&) and access=&&& and UPPER(name) like &&&"
2019-02-11 02:28:00,1
2019-02-11 03:43:00,1
2019-02-11 07:36:00,1
2019-02-11 07:57:00,1
2019-02-11 15:55:00,1
2019-02-11 15:56:00,1
2019-02-11 16:06:00,1
2019-02-11 16:34:00,1
2019-02-11 16:53:00,1
2019-02-11 17:14:00,1
2019-02-11 19:41:00,1
2019-02-11 19:47:00,1
2019-02-11 20:19:00,2
2019-02-11 20:53:00,2
2019-02-11 20:57:00,1
2019-02-11 21:40:00,1
2019-02-11 22:42:00,1
2019-02-11 23:32:00,1
2019-02-11 23:51:00,1
