222,"SELECT TOP # rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-02-11 09:31:00,4
2019-02-11 09:32:00,4
2019-02-11 10:02:00,4
2019-02-11 12:02:00,8
2019-02-11 12:03:00,12
2019-02-11 12:04:00,8
2019-02-11 12:05:00,12
2019-02-11 12:06:00,14
2019-02-11 12:07:00,10
2019-02-11 12:08:00,15
2019-02-11 12:09:00,7
2019-02-11 12:10:00,11
2019-02-11 12:11:00,14
2019-02-11 12:12:00,8
2019-02-11 12:13:00,15
2019-02-11 12:14:00,16
2019-02-11 12:15:00,19
2019-02-11 12:16:00,9
2019-02-11 12:32:00,5
2019-02-11 14:31:00,1
2019-02-11 14:32:00,6
2019-02-11 15:02:00,11
2019-02-11 15:34:00,5
2019-02-11 15:35:00,2
2019-02-11 16:01:00,2
