474,select objid from photoprimary where photoprimary.dec between # and # and photoprimary.ra between # and # and photoprimary.r between # and #
2019-02-28 00:00:00,1
2019-02-28 00:01:00,3
2019-02-28 00:02:00,1
2019-02-28 00:03:00,1
2019-02-28 00:04:00,11
2019-02-28 00:05:00,2
2019-02-28 00:06:00,5
2019-02-28 00:08:00,3
2019-02-28 00:09:00,7
2019-02-28 00:10:00,5
2019-02-28 00:11:00,1
2019-02-28 00:12:00,1
2019-02-28 00:13:00,2
2019-02-28 00:14:00,1
2019-02-28 00:15:00,6
2019-02-28 00:18:00,5
2019-02-28 00:19:00,1
2019-02-28 00:20:00,1
2019-02-28 00:21:00,2
2019-02-28 00:22:00,1
2019-02-28 00:23:00,10
2019-02-28 00:25:00,1
2019-02-28 00:26:00,6
2019-02-28 00:28:00,2
2019-02-28 00:29:00,10
2019-02-28 00:30:00,1
2019-02-28 00:31:00,2
2019-02-28 00:32:00,2
2019-02-28 00:33:00,3
2019-02-28 00:34:00,1
2019-02-28 00:35:00,2
2019-02-28 00:36:00,3
2019-02-28 00:37:00,1
2019-02-28 00:39:00,2
2019-02-28 00:41:00,2
2019-02-28 00:42:00,1
2019-02-28 00:43:00,2
2019-02-28 00:45:00,8
2019-02-28 00:47:00,2
2019-02-28 00:48:00,4
2019-02-28 00:49:00,1
2019-02-28 00:50:00,2
2019-02-28 00:51:00,3
2019-02-28 00:53:00,3
2019-02-28 00:54:00,2
2019-02-28 00:55:00,2
2019-02-28 00:56:00,1
2019-02-28 00:57:00,3
2019-02-28 01:00:00,4
2019-02-28 01:01:00,1
2019-02-28 01:02:00,1
2019-02-28 01:03:00,2
2019-02-28 01:04:00,3
2019-02-28 01:05:00,2
2019-02-28 01:08:00,2
2019-02-28 01:09:00,2
2019-02-28 01:10:00,1
2019-02-28 01:11:00,10
2019-02-28 01:14:00,3
2019-02-28 01:15:00,2
2019-02-28 01:16:00,1
2019-02-28 01:17:00,1
2019-02-28 01:18:00,3
2019-02-28 01:19:00,2
2019-02-28 01:20:00,2
2019-02-28 01:21:00,3
2019-02-28 01:23:00,1
2019-02-28 01:24:00,3
2019-02-28 01:26:00,3
2019-02-28 01:27:00,1
2019-02-28 01:28:00,2
2019-02-28 01:29:00,2
2019-02-28 01:30:00,1
2019-02-28 01:31:00,2
2019-02-28 01:32:00,1
2019-02-28 01:33:00,3
2019-02-28 01:34:00,2
2019-02-28 01:35:00,2
2019-02-28 01:36:00,2
2019-02-28 01:37:00,1
2019-02-28 01:39:00,6
2019-02-28 01:41:00,7
2019-02-28 01:42:00,3
2019-02-28 01:44:00,10
2019-02-28 01:45:00,2
2019-02-28 01:47:00,1
2019-02-28 01:48:00,3
2019-02-28 01:49:00,5
2019-02-28 01:51:00,7
2019-02-28 01:52:00,2
2019-02-28 01:53:00,1
2019-02-28 01:54:00,5
2019-02-28 01:55:00,1
2019-02-28 01:56:00,7
2019-02-28 01:59:00,3
2019-02-28 02:00:00,2
2019-02-28 02:02:00,2
2019-02-28 02:03:00,4
2019-02-28 02:05:00,6
2019-02-28 02:06:00,3
2019-02-28 02:07:00,1
2019-02-28 02:08:00,7
2019-02-28 02:09:00,2
2019-02-28 02:12:00,4
2019-02-28 02:13:00,1
2019-02-28 02:14:00,1
2019-02-28 02:15:00,4
2019-02-28 02:16:00,2
2019-02-28 02:17:00,1
2019-02-28 02:18:00,2
2019-02-28 02:19:00,9
2019-02-28 02:22:00,4
2019-02-28 02:23:00,2
2019-02-28 02:25:00,3
2019-02-28 02:26:00,2
2019-02-28 02:28:00,1
2019-02-28 02:29:00,2
2019-02-28 02:30:00,2
2019-02-28 02:32:00,6
2019-02-28 02:33:00,1
2019-02-28 02:35:00,1
2019-02-28 02:36:00,6
2019-02-28 02:38:00,3
2019-02-28 02:39:00,6
2019-02-28 02:40:00,1
2019-02-28 02:41:00,18
2019-02-28 02:42:00,5
2019-02-28 02:43:00,2
2019-02-28 02:44:00,2
2019-02-28 02:45:00,1
2019-02-28 02:46:00,2
2019-02-28 02:48:00,8
2019-02-28 02:49:00,2
2019-02-28 02:50:00,8
2019-02-28 02:51:00,1
2019-02-28 02:53:00,3
2019-02-28 02:55:00,2
2019-02-28 02:56:00,1
2019-02-28 02:58:00,15
2019-02-28 03:02:00,2
2019-02-28 03:03:00,10
2019-02-28 03:04:00,2
2019-02-28 03:05:00,4
2019-02-28 03:06:00,6
2019-02-28 03:09:00,2
2019-02-28 03:10:00,2
2019-02-28 03:11:00,5
2019-02-28 03:12:00,1
2019-02-28 03:14:00,3
