243,select * from dbo.fDocColumns(&&&)
2019-02-28 00:42:00,1
2019-02-28 00:44:00,1
2019-02-28 00:51:00,1
2019-02-28 01:09:00,1
2019-02-28 01:17:00,2
2019-02-28 01:18:00,3
2019-02-28 01:20:00,1
2019-02-28 01:31:00,2
2019-02-28 01:44:00,1
2019-02-28 01:54:00,2
2019-02-28 02:02:00,1
2019-02-28 02:23:00,1
2019-02-28 02:24:00,1
2019-02-28 02:26:00,1
2019-02-28 02:30:00,3
2019-02-28 02:31:00,1
2019-02-28 02:36:00,1
2019-02-28 02:39:00,1
2019-02-28 02:43:00,1
2019-02-28 02:44:00,2
2019-02-28 02:47:00,1
2019-02-28 02:48:00,2
2019-02-28 02:56:00,1
2019-02-28 02:57:00,2
2019-02-28 03:04:00,1
2019-02-28 03:16:00,1
2019-02-28 03:40:00,2
2019-02-28 03:41:00,1
2019-02-28 03:53:00,1
2019-02-28 03:59:00,2
2019-02-28 04:00:00,1
2019-02-28 04:03:00,2
2019-02-28 04:11:00,1
2019-02-28 04:12:00,2
2019-02-28 04:33:00,1
2019-02-28 04:34:00,2
2019-02-28 04:58:00,1
2019-02-28 05:01:00,1
2019-02-28 05:51:00,1
2019-02-28 05:57:00,2
2019-02-28 06:00:00,1
2019-02-28 06:08:00,2
2019-02-28 06:20:00,1
2019-02-28 06:32:00,1
2019-02-28 07:17:00,1
2019-02-28 07:24:00,2
2019-02-28 07:32:00,1
2019-02-28 07:51:00,2
2019-02-28 07:57:00,2
2019-02-28 08:11:00,2
2019-02-28 08:14:00,1
2019-02-28 08:17:00,1
2019-02-28 08:38:00,1
2019-02-28 08:54:00,1
2019-02-28 09:07:00,1
2019-02-28 09:11:00,1
2019-02-28 09:15:00,1
2019-02-28 09:42:00,3
2019-02-28 09:45:00,7
2019-02-28 09:46:00,2
2019-02-28 09:48:00,11
2019-02-28 10:02:00,1
2019-02-28 10:11:00,1
2019-02-28 10:40:00,2
2019-02-28 11:12:00,2
2019-02-28 11:24:00,1
2019-02-28 11:46:00,1
2019-02-28 12:07:00,1
2019-02-28 12:30:00,1
2019-02-28 12:46:00,1
2019-02-28 13:05:00,1
2019-02-28 13:10:00,2
2019-02-28 13:36:00,1
2019-02-28 13:48:00,1
2019-02-28 13:54:00,1
2019-02-28 13:57:00,1
2019-02-28 14:10:00,1
2019-02-28 14:16:00,2
2019-02-28 14:38:00,2
2019-02-28 14:44:00,1
2019-02-28 14:54:00,2
2019-02-28 14:57:00,1
2019-02-28 15:02:00,1
2019-02-28 15:11:00,2
2019-02-28 15:17:00,2
2019-02-28 15:36:00,2
2019-02-28 15:46:00,1
2019-02-28 15:51:00,4
2019-02-28 15:55:00,1
2019-02-28 15:56:00,1
2019-02-28 15:59:00,1
2019-02-28 16:00:00,2
2019-02-28 16:04:00,1
2019-02-28 16:05:00,1
2019-02-28 16:07:00,1
2019-02-28 16:10:00,2
2019-02-28 16:13:00,1
2019-02-28 16:15:00,3
2019-02-28 16:16:00,1
2019-02-28 16:17:00,2
2019-02-28 16:29:00,2
2019-02-28 16:30:00,1
2019-02-28 16:41:00,2
2019-02-28 16:50:00,1
2019-02-28 16:52:00,1
2019-02-28 17:01:00,2
2019-02-28 17:06:00,1
2019-02-28 17:54:00,2
2019-02-28 18:00:00,1
2019-02-28 18:10:00,2
2019-02-28 18:17:00,1
2019-02-28 18:18:00,1
2019-02-28 18:19:00,1
2019-02-28 18:43:00,2
2019-02-28 18:55:00,2
2019-02-28 19:06:00,1
2019-02-28 19:09:00,1
2019-02-28 19:10:00,1
2019-02-28 19:18:00,1
2019-02-28 19:19:00,2
2019-02-28 19:30:00,1
2019-02-28 19:34:00,2
2019-02-28 19:39:00,1
2019-02-28 19:41:00,2
2019-02-28 19:47:00,1
2019-02-28 19:48:00,2
2019-02-28 19:58:00,2
2019-02-28 20:01:00,1
2019-02-28 20:03:00,2
2019-02-28 20:08:00,2
2019-02-28 20:24:00,2
2019-02-28 20:38:00,1
2019-02-28 20:41:00,2
2019-02-28 20:44:00,1
2019-02-28 20:50:00,1
2019-02-28 21:19:00,1
2019-02-28 21:22:00,3
2019-02-28 21:23:00,4
2019-02-28 21:52:00,2
2019-02-28 22:03:00,2
2019-02-28 22:04:00,2
2019-02-28 22:17:00,1
2019-02-28 22:20:00,3
2019-02-28 22:31:00,1
2019-02-28 22:33:00,2
2019-02-28 22:35:00,1
2019-02-28 22:36:00,1
2019-02-28 22:44:00,1
2019-02-28 23:03:00,1
2019-02-28 23:15:00,4
2019-02-28 23:16:00,2
2019-02-28 23:36:00,1
2019-02-28 23:52:00,1
2019-02-28 23:55:00,1
2019-02-28 23:57:00,1
