472,"SELECT DISTINCT p.ra, p.dec, p.u, p.g, p.r, p.i, p.lnLExp_u, p.lnLDeV_u, s.Z, s.class FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-02-28 16:19:00,1
2019-02-28 16:36:00,3
2019-02-28 16:37:00,43
2019-02-28 16:38:00,54
2019-02-28 16:43:00,13
2019-02-28 16:44:00,106
2019-02-28 16:45:00,98
2019-02-28 16:46:00,98
2019-02-28 16:47:00,56
