191,"SELECT TOP # p.ra,p.dec,p.type,p.modelmag_g,p.modelmag_r,p.modelmag_i,p.run,p.rerun,p.camcol,p.field,p.obj,p.objid,dbo.fIAUFromEq(p.ra,p.dec),p.z,p.specobjid,p.specClass FROM SpecPhotoAll as p WHERE p.ra<# and p.ra># and p.dec># and p.dec<# and (p.specClass=# or p.specClass=#) order by p.modelmag_r"
2019-02-28 19:40:00,3
2019-02-28 19:46:00,1
2019-02-28 19:48:00,1
2019-02-28 19:49:00,1
2019-02-28 19:50:00,2
2019-02-28 19:52:00,2
2019-02-28 19:53:00,4
2019-02-28 19:54:00,3
2019-02-28 19:55:00,5
2019-02-28 19:56:00,8
2019-02-28 19:57:00,3
2019-02-28 19:59:00,2
2019-02-28 20:00:00,3
2019-02-28 20:01:00,6
2019-02-28 20:02:00,8
2019-02-28 20:03:00,9
2019-02-28 20:04:00,10
2019-02-28 20:05:00,11
2019-02-28 20:06:00,4
2019-02-28 20:07:00,4
2019-02-28 20:08:00,7
2019-02-28 20:09:00,5
2019-02-28 20:10:00,4
2019-02-28 20:11:00,8
2019-02-28 20:12:00,6
2019-02-28 20:13:00,11
2019-02-28 20:14:00,2
2019-02-28 20:15:00,10
2019-02-28 20:16:00,9
2019-02-28 20:17:00,5
2019-02-28 20:18:00,3
2019-02-28 20:19:00,4
2019-02-28 20:20:00,3
2019-02-28 20:21:00,2
2019-02-28 20:22:00,3
2019-02-28 20:23:00,2
2019-02-28 20:24:00,4
2019-02-28 20:27:00,2
2019-02-28 20:28:00,1
2019-02-28 20:29:00,4
2019-02-28 20:30:00,2
2019-02-28 20:34:00,2
2019-02-28 20:35:00,1
2019-02-28 20:40:00,1
