93,"select [enum], [name], [type], [length], [unit], [ucd], [description] from dbo.fDocColumns(&&&) ORDER BY [columnID]"
2019-02-28 00:36:00,1
2019-02-28 00:41:00,1
2019-02-28 00:48:00,2
2019-02-28 00:53:00,1
2019-02-28 00:54:00,1
2019-02-28 01:01:00,1
2019-02-28 01:03:00,1
2019-02-28 01:13:00,1
2019-02-28 01:14:00,1
2019-02-28 01:50:00,1
2019-02-28 01:51:00,1
2019-02-28 01:58:00,1
2019-02-28 01:59:00,1
2019-02-28 02:02:00,1
2019-02-28 02:16:00,1
2019-02-28 02:27:00,1
2019-02-28 02:32:00,1
2019-02-28 02:35:00,1
2019-02-28 02:39:00,1
2019-02-28 03:20:00,1
2019-02-28 03:56:00,1
2019-02-28 04:22:00,1
2019-02-28 04:26:00,1
2019-02-28 04:32:00,1
2019-02-28 05:00:00,1
2019-02-28 05:02:00,1
2019-02-28 05:25:00,1
2019-02-28 07:22:00,1
2019-02-28 08:08:00,1
2019-02-28 08:47:00,1
2019-02-28 09:22:00,1
2019-02-28 10:24:00,1
2019-02-28 10:29:00,1
2019-02-28 10:30:00,1
2019-02-28 11:46:00,2
2019-02-28 12:05:00,1
2019-02-28 12:41:00,3
2019-02-28 13:40:00,1
2019-02-28 14:14:00,1
2019-02-28 14:29:00,1
2019-02-28 15:47:00,1
2019-02-28 15:51:00,1
2019-02-28 15:56:00,1
2019-02-28 16:44:00,1
2019-02-28 17:39:00,1
2019-02-28 18:00:00,1
2019-02-28 18:03:00,1
2019-02-28 18:06:00,1
2019-02-28 18:07:00,3
2019-02-28 18:08:00,2
2019-02-28 18:40:00,1
2019-02-28 18:47:00,1
2019-02-28 18:48:00,1
2019-02-28 18:51:00,1
2019-02-28 18:56:00,1
2019-02-28 19:20:00,2
2019-02-28 20:01:00,1
2019-02-28 20:22:00,1
2019-02-28 20:24:00,1
2019-02-28 20:26:00,1
2019-02-28 20:32:00,2
2019-02-28 20:33:00,1
2019-02-28 20:40:00,1
2019-02-28 20:41:00,1
2019-02-28 20:42:00,3
2019-02-28 20:43:00,2
2019-02-28 20:45:00,3
2019-02-28 20:54:00,1
2019-02-28 21:00:00,1
2019-02-28 21:01:00,1
2019-02-28 21:13:00,1
2019-02-28 21:16:00,1
2019-02-28 21:17:00,1
2019-02-28 21:42:00,4
2019-02-28 21:46:00,1
2019-02-28 21:47:00,1
