694,"SELECT objid, cModelFlux_u, cModelFluxIvar_u, cModelFlux_g, cModelFluxIvar_g, cModelFlux_r, cModelFluxIvar_r, cModelFlux_i, cModelFluxIvar_i, cModelFlux_z, cModelFluxIvar_z FROM PhotoObj WHERE objid=#"
2019-02-28 07:14:00,1
2019-02-28 07:15:00,4
2019-02-28 07:16:00,3
2019-02-28 07:17:00,5
2019-02-28 07:18:00,3
2019-02-28 07:19:00,4
2019-02-28 07:20:00,4
2019-02-28 07:21:00,4
2019-02-28 07:22:00,4
2019-02-28 07:23:00,4
2019-02-28 07:24:00,4
2019-02-28 07:25:00,3
2019-02-28 07:26:00,4
2019-02-28 07:27:00,4
2019-02-28 07:28:00,4
2019-02-28 07:29:00,4
2019-02-28 07:30:00,3
2019-02-28 07:31:00,4
2019-02-28 07:32:00,5
2019-02-28 07:33:00,4
2019-02-28 07:34:00,4
2019-02-28 07:35:00,3
2019-02-28 07:36:00,4
2019-02-28 07:37:00,4
2019-02-28 07:38:00,4
2019-02-28 07:39:00,4
2019-02-28 07:40:00,4
2019-02-28 07:41:00,4
2019-02-28 07:42:00,3
2019-02-28 07:43:00,4
2019-02-28 07:44:00,3
2019-02-28 07:45:00,4
2019-02-28 07:46:00,4
2019-02-28 07:47:00,3
2019-02-28 07:48:00,5
2019-02-28 07:49:00,3
2019-02-28 07:50:00,4
2019-02-28 07:51:00,4
2019-02-28 07:52:00,4
2019-02-28 07:53:00,4
2019-02-28 07:54:00,4
2019-02-28 07:55:00,4
2019-02-28 07:56:00,4
2019-02-28 07:57:00,3
2019-02-28 07:58:00,4
2019-02-28 07:59:00,4
2019-02-28 08:00:00,4
2019-02-28 08:01:00,4
2019-02-28 08:02:00,4
2019-02-28 08:03:00,4
2019-02-28 08:04:00,4
2019-02-28 08:05:00,3
2019-02-28 08:06:00,4
2019-02-28 08:07:00,4
2019-02-28 08:08:00,3
2019-02-28 08:09:00,4
2019-02-28 08:10:00,4
2019-02-28 08:11:00,3
2019-02-28 08:12:00,5
2019-02-28 08:13:00,3
2019-02-28 08:14:00,4
2019-02-28 08:15:00,3
2019-02-28 08:16:00,5
2019-02-28 08:17:00,3
2019-02-28 08:18:00,5
2019-02-28 08:19:00,3
2019-02-28 08:20:00,5
2019-02-28 08:21:00,3
2019-02-28 08:22:00,4
2019-02-28 08:23:00,3
2019-02-28 08:24:00,4
2019-02-28 08:25:00,4
2019-02-28 08:26:00,4
2019-02-28 08:27:00,4
2019-02-28 08:28:00,3
2019-02-28 08:29:00,4
2019-02-28 08:30:00,4
2019-02-28 08:31:00,4
2019-02-28 08:32:00,3
2019-02-28 08:33:00,5
2019-02-28 08:34:00,4
2019-02-28 08:35:00,4
2019-02-28 08:36:00,3
2019-02-28 08:37:00,4
2019-02-28 08:38:00,3
2019-02-28 08:39:00,4
2019-02-28 08:40:00,4
2019-02-28 08:41:00,3
2019-02-28 08:42:00,4
2019-02-28 08:43:00,4
2019-02-28 08:44:00,4
2019-02-28 08:45:00,4
2019-02-28 08:46:00,4
2019-02-28 08:47:00,4
2019-02-28 08:48:00,5
2019-02-28 08:49:00,4
2019-02-28 08:50:00,5
2019-02-28 08:51:00,3
2019-02-28 08:52:00,3
2019-02-28 08:53:00,4
2019-02-28 08:54:00,3
2019-02-28 08:55:00,4
2019-02-28 08:56:00,3
2019-02-28 08:57:00,4
2019-02-28 08:58:00,4
2019-02-28 08:59:00,4
2019-02-28 09:00:00,4
2019-02-28 09:01:00,3
2019-02-28 09:02:00,4
2019-02-28 09:03:00,4
2019-02-28 09:04:00,4
2019-02-28 09:05:00,4
2019-02-28 09:06:00,4
2019-02-28 09:07:00,4
2019-02-28 09:08:00,4
2019-02-28 09:09:00,4
2019-02-28 09:10:00,4
2019-02-28 09:11:00,4
2019-02-28 09:12:00,4
2019-02-28 09:13:00,5
2019-02-28 09:14:00,4
2019-02-28 09:15:00,3
2019-02-28 09:16:00,4
2019-02-28 09:17:00,3
2019-02-28 09:18:00,4
2019-02-28 09:19:00,4
2019-02-28 09:20:00,5
2019-02-28 09:21:00,4
2019-02-28 09:22:00,4
2019-02-28 09:23:00,4
2019-02-28 09:24:00,4
2019-02-28 09:25:00,5
2019-02-28 09:26:00,3
2019-02-28 09:27:00,4
2019-02-28 09:28:00,4
2019-02-28 09:29:00,4
2019-02-28 09:30:00,4
2019-02-28 09:31:00,4
2019-02-28 09:32:00,4
2019-02-28 09:33:00,4
2019-02-28 09:34:00,4
2019-02-28 09:35:00,4
2019-02-28 09:36:00,4
2019-02-28 09:37:00,4
2019-02-28 09:38:00,4
2019-02-28 09:39:00,4
2019-02-28 09:40:00,3
2019-02-28 09:41:00,4
2019-02-28 09:42:00,4
2019-02-28 09:43:00,4
2019-02-28 09:44:00,4
2019-02-28 09:45:00,4
2019-02-28 09:46:00,4
2019-02-28 09:47:00,4
2019-02-28 09:48:00,4
2019-02-28 09:49:00,5
2019-02-28 09:50:00,4
2019-02-28 09:51:00,3
2019-02-28 09:52:00,4
2019-02-28 09:53:00,4
2019-02-28 09:54:00,4
2019-02-28 09:55:00,4
2019-02-28 09:56:00,4
2019-02-28 09:57:00,4
2019-02-28 09:58:00,4
2019-02-28 09:59:00,4
2019-02-28 10:00:00,4
2019-02-28 10:01:00,4
2019-02-28 10:02:00,3
2019-02-28 10:03:00,4
2019-02-28 10:04:00,4
2019-02-28 10:05:00,2
2019-02-28 10:06:00,4
2019-02-28 10:07:00,4
2019-02-28 10:08:00,4
2019-02-28 10:09:00,4
2019-02-28 10:10:00,2
2019-02-28 14:08:00,3
