64,select distinct parent from DBViewCols where viewname=&&&
2019-02-28 00:48:00,2
2019-02-28 00:51:00,1
2019-02-28 00:53:00,1
2019-02-28 00:54:00,1
2019-02-28 01:03:00,1
2019-02-28 01:14:00,1
2019-02-28 01:18:00,1
2019-02-28 01:20:00,1
2019-02-28 02:02:00,1
2019-02-28 02:35:00,1
2019-02-28 02:47:00,1
2019-02-28 02:48:00,2
2019-02-28 02:57:00,1
2019-02-28 03:41:00,1
2019-02-28 05:02:00,1
2019-02-28 07:22:00,1
2019-02-28 08:38:00,1
2019-02-28 09:22:00,1
2019-02-28 10:29:00,1
2019-02-28 10:30:00,1
2019-02-28 11:46:00,1
2019-02-28 12:05:00,1
2019-02-28 12:41:00,3
2019-02-28 13:54:00,1
2019-02-28 14:10:00,1
2019-02-28 14:38:00,1
2019-02-28 15:46:00,1
2019-02-28 15:59:00,1
2019-02-28 16:07:00,1
2019-02-28 16:13:00,1
2019-02-28 16:29:00,1
2019-02-28 16:44:00,1
2019-02-28 17:39:00,1
2019-02-28 18:00:00,1
2019-02-28 18:47:00,1
2019-02-28 19:06:00,1
2019-02-28 19:20:00,1
2019-02-28 19:30:00,1
2019-02-28 20:03:00,1
2019-02-28 20:24:00,1
2019-02-28 20:26:00,1
2019-02-28 20:38:00,1
2019-02-28 20:42:00,1
2019-02-28 20:44:00,1
2019-02-28 21:16:00,1
2019-02-28 21:17:00,1
2019-02-28 21:22:00,3
2019-02-28 21:23:00,2
2019-02-28 21:42:00,4
2019-02-28 22:33:00,2
2019-02-28 22:35:00,1
2019-02-28 22:36:00,1
2019-02-28 23:55:00,1
